T2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,strategy_original,data_level
HRR234050.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234050.indel.vcf.gz,HRA000873,HRR234050,HRR234050.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234050.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1484682,WXS,WES,2
HRR234050.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234050.indel.vcf.gz.tbi,HRA000873,HRR234050,HRR234050.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234050.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,106678,WXS,WES,2
HRR234053.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234053.indel.vcf.gz,HRA000873,HRR234053,HRR234053.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234053.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1827871,WXS,WES,2
HRR234053.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234053.indel.vcf.gz.tbi,HRA000873,HRR234053,HRR234053.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234053.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,119130,WXS,WES,2
HRR234055.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234055.indel.vcf.gz,HRA000873,HRR234055,HRR234055.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234055.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,695866,WXS,WES,2
HRR234055.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234055.indel.vcf.gz.tbi,HRA000873,HRR234055,HRR234055.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234055.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,64788,WXS,WES,2
HRR234057.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234057.indel.vcf.gz,HRA000873,HRR234057,HRR234057.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234057.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1130598,WXS,WES,2
HRR234057.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234057.indel.vcf.gz.tbi,HRA000873,HRR234057,HRR234057.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234057.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,89898,WXS,WES,2
HRR234059.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234059.indel.vcf.gz,HRA000873,HRR234059,HRR234059.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234059.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1276894,WXS,WES,2
HRR234059.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234059.indel.vcf.gz.tbi,HRA000873,HRR234059,HRR234059.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234059.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,97198,WXS,WES,2
HRR234061.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234061.indel.vcf.gz,HRA000873,HRR234061,HRR234061.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234061.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,977332,WXS,WES,2
HRR234061.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234061.indel.vcf.gz.tbi,HRA000873,HRR234061,HRR234061.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234061.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,81630,WXS,WES,2
HRR234063.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234063.indel.vcf.gz,HRA000873,HRR234063,HRR234063.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234063.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,1237138,WXS,WES,2
HRR234063.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234063.indel.vcf.gz.tbi,HRA000873,HRR234063,HRR234063.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234063.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,95188,WXS,WES,2
HRR234064.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234064.indel.vcf.gz,HRA000873,HRR234064,HRR234064.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234064.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,2037377,WXS,WES,2
HRR234064.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234064.indel.vcf.gz.tbi,HRA000873,HRR234064,HRR234064.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234064.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,129031,WXS,WES,2
HRR234067.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234067.indel.vcf.gz,HRA000873,HRR234067,HRR234067.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234067.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,697575,WXS,WES,2
HRR234067.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234067.indel.vcf.gz.tbi,HRA000873,HRR234067,HRR234067.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234067.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,63769,WXS,WES,2
HRR234069.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234069.indel.vcf.gz,HRA000873,HRR234069,HRR234069.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234069.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,914039,WXS,WES,2
HRR234069.indel.vcf.gz.tbi::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234069.indel.vcf.gz.tbi,HRA000873,HRR234069,HRR234069.indel.vcf.gz.tbi,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234069.indel.vcf.gz.tbi,gz.tbi,DNA_VARIANT_INDEX_TBI,77862,WXS,WES,2
HRR234070.indel.vcf.gz::/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234070.indel.vcf.gz,HRA000873,HRR234070,HRR234070.indel.vcf.gz,,/hpcdisk1/cbb_group/data/analysis/HRA000873/SomaticIndel-VCF-files/HRR234070.indel.vcf.gz,vcf.gz,DNA_VARIANT_VCF_GENERAL,2424877,WXS,WES,2
