t2_id,study_accession,run_accession,file_name,sub_file_name,file_path,format,semantic_format,size,strategy,data_level
HRR067359.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam.bai,HRA000021,HRR067359,HRR067359.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9090736,WGS,2
HRR067360.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam,HRA000021,HRR067360,HRR067360.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,118565000000,WGS,2
HRR067360.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam.bai,HRA000021,HRR067360,HRR067360.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067360.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9302360,WGS,2
HRR067361.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam,HRA000021,HRR067361,HRR067361.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,69813216932,WGS,2
HRR067361.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam.bai,HRA000021,HRR067361,HRR067361.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067361.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9108984,WGS,2
HRR067362.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam,HRA000021,HRR067362,HRR067362.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,150930000000,WGS,2
HRR067362.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam.bai,HRA000021,HRR067362,HRR067362.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067362.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9431376,WGS,2
HRR067363.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam,HRA000021,HRR067363,HRR067363.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,79032461783,WGS,2
HRR067363.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam.bai,HRA000021,HRR067363,HRR067363.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067363.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9135328,WGS,2
HRR067364.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam,HRA000021,HRR067364,HRR067364.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,115562000000,WGS,2
HRR067364.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam.bai,HRA000021,HRR067364,HRR067364.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067364.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9338568,WGS,2
HRR067365.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam,HRA000021,HRR067365,HRR067365.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,68605699090,WGS,2
HRR067365.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam.bai,HRA000021,HRR067365,HRR067365.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067365.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9022664,WGS,2
HRR067366.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam,HRA000021,HRR067366,HRR067366.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,101324000000,WGS,2
HRR067366.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam.bai,HRA000021,HRR067366,HRR067366.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067366.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9256328,WGS,2
HRR067367.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam,HRA000021,HRR067367,HRR067367.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,87851563948,WGS,2
HRR067367.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam.bai,HRA000021,HRR067367,HRR067367.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067367.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9100712,WGS,2
HRR067368.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam,HRA000021,HRR067368,HRR067368.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,163210000000,WGS,2
HRR067368.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam.bai,HRA000021,HRR067368,HRR067368.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067368.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9362008,WGS,2
HRR067369.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam,HRA000021,HRR067369,HRR067369.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,58693999572,WGS,2
HRR067369.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam.bai,HRA000021,HRR067369,HRR067369.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067369.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9015880,WGS,2
HRR067370.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam,HRA000021,HRR067370,HRR067370.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,147374000000,WGS,2
HRR067370.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam.bai,HRA000021,HRR067370,HRR067370.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067370.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9403848,WGS,2
HRR067371.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam,HRA000021,HRR067371,HRR067371.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,60048283969,WGS,2
HRR067371.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam.bai,HRA000021,HRR067371,HRR067371.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067371.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,8966336,WGS,2
HRR067372.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067372.BQSR.bam,HRA000021,HRR067372,HRR067372.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067372.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,174499000000,WGS,2
HRR067372.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067372.BQSR.bam.bai,HRA000021,HRR067372,HRR067372.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067372.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9541312,WGS,2
HRR067373.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067373.BQSR.bam,HRA000021,HRR067373,HRR067373.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067373.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,62033368320,WGS,2
HRR067373.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067373.BQSR.bam.bai,HRA000021,HRR067373,HRR067373.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067373.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,8990760,WGS,2
HRR067374.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067374.BQSR.bam,HRA000021,HRR067374,HRR067374.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067374.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,161150000000,WGS,2
HRR067374.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067374.BQSR.bam.bai,HRA000021,HRR067374,HRR067374.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067374.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9093952,WGS,2
HRR067375.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067375.BQSR.bam,HRA000021,HRR067375,HRR067375.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067375.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,80495389116,WGS,2
HRR067375.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067375.BQSR.bam.bai,HRA000021,HRR067375,HRR067375.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067375.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9067304,WGS,2
HRR067376.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067376.BQSR.bam,HRA000021,HRR067376,HRR067376.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067376.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,128895000000,WGS,2
HRR067376.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067376.BQSR.bam.bai,HRA000021,HRR067376,HRR067376.BQSR.bam.bai,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067376.BQSR.bam.bai,bai,DNA_ALIGNMENT_INDEX_BAI,9212784,WGS,2
HRR067377.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067377.BQSR.bam,HRA000021,HRR067377,HRR067377.BQSR.bam,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067377.BQSR.bam,bam,DNA_ALIGNMENT_BQSR_BAM,92113368428,WGS,2
