study_accession,individual_accession,sample_accession,experiment_accession,run_accession,file_name,file_path,file_format,strategy,T1_id,semantic_format,size,platform,data_level,individual_name,sample_name
HRA000021,HRI035291,HRS039803,HRX048845,HRR067358,HRR067358_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_2.fastq.gz,fastq.gz,WGS,HRR067358_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0010,BDESCC0010T
HRA000021,HRI035292,HRS039804,HRX048846,HRR067359,HRR067359_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_1.fastq.gz,fastq.gz,WGS,HRR067359_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0011,BDESCC0011N
HRA000021,HRI035292,HRS039804,HRX048846,HRR067359,HRR067359_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_2.fastq.gz,fastq.gz,WGS,HRR067359_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0011,BDESCC0011N
HRA000021,HRI035292,HRS039805,HRX048847,HRR067360,HRR067360_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_1.fastq.gz,fastq.gz,WGS,HRR067360_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0011,BDESCC0011T
HRA000021,HRI035292,HRS039805,HRX048847,HRR067360,HRR067360_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_2.fastq.gz,fastq.gz,WGS,HRR067360_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067360_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0011,BDESCC0011T
HRA000021,HRI035293,HRS039806,HRX048848,HRR067361,HRR067361_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_1.fastq.gz,fastq.gz,WGS,HRR067361_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0013,BDESCC0013N
HRA000021,HRI035293,HRS039806,HRX048848,HRR067361,HRR067361_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_2.fastq.gz,fastq.gz,WGS,HRR067361_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067361_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0013,BDESCC0013N
HRA000021,HRI035293,HRS039807,HRX048849,HRR067362,HRR067362_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_1.fastq.gz,fastq.gz,WGS,HRR067362_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0013,BDESCC0013T
HRA000021,HRI035293,HRS039807,HRX048849,HRR067362,HRR067362_2.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_2.fastq.gz,fastq.gz,WGS,HRR067362_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067362_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0013,BDESCC0013T
HRA000021,HRI035294,HRS039808,HRX048850,HRR067363,HRR067363_1.fastq.gz,/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_1.fastq.gz,fastq.gz,WGS,HRR067363_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067363_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ,,Illumina HiSeq X Ten,1,BDESCC0014,BDESCC0014N
