T1_id,sample_accession
HRR067384_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067384_1.fastq.gz,HRS039829
HRR067384_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067384_2.fastq.gz,HRS039829
HRR067385_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067385_1.fastq.gz,HRS039830
HRR067385_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067385_2.fastq.gz,HRS039830
HRR067386_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067386_1.fastq.gz,HRS039831
HRR067386_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067386_2.fastq.gz,HRS039831
HRR067387_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067387_1.fastq.gz,HRS039832
HRR067387_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067387_2.fastq.gz,HRS039832
HRR067388_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067388_1.fastq.gz,HRS039833
HRR067388_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067388_2.fastq.gz,HRS039833
HRR067389_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067389_1.fastq.gz,HRS039834
HRR067389_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067389_2.fastq.gz,HRS039834
HRR067390_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067390_1.fastq.gz,HRS039835
HRR067390_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067390_2.fastq.gz,HRS039835
HRR067391_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067391_1.fastq.gz,HRS039836
HRR067391_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067391_2.fastq.gz,HRS039836
HRR067392_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067392_1.fastq.gz,HRS039837
HRR067392_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067392_2.fastq.gz,HRS039837
HRR067393_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067393_1.fastq.gz,HRS039838
HRR067393_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067393_2.fastq.gz,HRS039838
HRR067394_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067394_1.fastq.gz,HRS039839
HRR067394_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067394_2.fastq.gz,HRS039839
HRR067395_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067395_1.fastq.gz,HRS039840
