t1_id,semantic_format
HRR067383_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067383_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067383_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067383_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067384_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067384_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067384_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067384_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067385_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067385_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067385_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067385_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067386_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067386_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067386_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067386_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067387_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067387_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067387_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067387_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067388_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067388_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067388_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067388_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067389_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067389_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
HRR067389_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067389_2.fastq.gz,RAW_PAIRED_END_R2_FASTQ
HRR067390_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067390_1.fastq.gz,RAW_PAIRED_END_R1_FASTQ
