T2_id,run_accession,T1_id
HRR067357.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam,HRR067357,HRR067357_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz
HRR067357.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam,HRR067357,HRR067357_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz
HRR067357.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam.bai,HRR067357,HRR067357_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_1.fastq.gz
HRR067357.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067357.BQSR.bam.bai,HRR067357,HRR067357_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067357_2.fastq.gz
HRR067358.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam,HRR067358,HRR067358_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_1.fastq.gz
HRR067358.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam,HRR067358,HRR067358_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_2.fastq.gz
HRR067358.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam.bai,HRR067358,HRR067358_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_1.fastq.gz
HRR067358.BQSR.bam.bai::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067358.BQSR.bam.bai,HRR067358,HRR067358_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067358_2.fastq.gz
HRR067359.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam,HRR067359,HRR067359_1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_1.fastq.gz
HRR067359.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067359.BQSR.bam,HRR067359,HRR067359_2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000021/fq/HRR067359_2.fastq.gz
