type,start,end,properties_json
ALLOW_FORMAT,io_slot:wgcna::out::qc,catalog_format:tsv,{}
HAS_FUNCTION,tool_id:bcftools,catalog_function:VCF过滤与标准化,{}
HAS_FUNCTION,tool_id:bwa,catalog_function:比对参考基因组,{}
HAS_FUNCTION,tool_id:diff_expr_go,catalog_function:差异表达与 GO 富集分析,{}
HAS_FUNCTION,tool_id:diff_expr_go,catalog_function:差异表达与GO富集,{}
HAS_FUNCTION,tool_id:diff_expr_kegg,catalog_function:差异表达与 Reactome 通路富集分析流程,{}
HAS_FUNCTION,tool_id:diff_expr_kegg,catalog_function:差异表达与通路富集,{}
HAS_FUNCTION,tool_id:driver_gene_gender_analysis,catalog_function:驱动基因性别分层,{}
HAS_FUNCTION,tool_id:driver_gene_gender_analysis,catalog_function:驱动基因突变频率性别分层分析,{}
HAS_FUNCTION,tool_id:fastp,catalog_function:质控修剪,{}
HAS_FUNCTION,tool_id:fastqc,catalog_function:质量评估,{}
HAS_FUNCTION,tool_id:featurecounts,catalog_function:基因水平计数,{}
HAS_FUNCTION,tool_id:gatk,catalog_function:变异检测与校正,{}
HAS_FUNCTION,tool_id:her2_pfs_survival,catalog_function:HER2 表达与无进展生存期分析,{}
HAS_FUNCTION,tool_id:her2_pfs_survival,catalog_function:生存关联分析,{}
HAS_FUNCTION,tool_id:immune_infiltration_iobr,catalog_function:免疫浸润估计,{}
HAS_FUNCTION,tool_id:immune_infiltration_iobr,catalog_function:免疫浸润分析 (IOBR CIBERSORT),{}
HAS_FUNCTION,tool_id:multiqc,catalog_function:报告汇总,{}
HAS_FUNCTION,tool_id:paired_fastq_to_unmapped_bam,catalog_function:FASTQ转uBAM,{}
HAS_FUNCTION,tool_id:paired_fastq_to_unmapped_bam,catalog_function:双端 FASTQ 转未比对 BAM,{}
HAS_FUNCTION,tool_id:rnaseq_singletask,catalog_function:RNA-seq FASTQ 完整上游分析,{}
HAS_FUNCTION,tool_id:rnaseq_unsupervised_cluster,catalog_function:RNA-seq 无监督聚类分析流程,{}
HAS_FUNCTION,tool_id:rnaseq_unsupervised_cluster,catalog_function:无监督聚类,{}
HAS_FUNCTION,tool_id:rsem,catalog_function:基因定量,{}
HAS_FUNCTION,tool_id:samtools,catalog_function:BAM处理与排序,{}
HAS_FUNCTION,tool_id:snpeff,catalog_function:变异功能注释,{}
HAS_FUNCTION,tool_id:star,catalog_function:RNA剪接比对,{}
HAS_FUNCTION,tool_id:survival_analysis,catalog_function:生存分析流程,{}
HAS_FUNCTION,tool_id:survival_analysis,catalog_function:生存曲线与Cox回归,{}
HAS_FUNCTION,tool_id:tmb_survival_analysis,catalog_function:TMB与生存分析,{}
HAS_FUNCTION,tool_id:tmb_survival_analysis,catalog_function:肿瘤突变负荷生存分析流程,{}
HAS_FUNCTION,tool_id:trim_galore,catalog_function:RNA接头修剪,{}
HAS_FUNCTION,tool_id:wes_somatic_maf_landscape,catalog_function:WES 体细胞突变 MAF 景观分析流程,{}
HAS_FUNCTION,tool_id:wes_somatic_maf_landscape,catalog_function:突变景观可视化,{}
HAS_FUNCTION,tool_id:wgcna,catalog_function:WGCNA 加权基因共表达网络分析,{}
HAS_FUNCTION,tool_id:wgcna,catalog_function:加权共表达网络,{}
HAS_INPUT_SLOT,tool_id:bcftools,io_slot:bcftools::input::unfiltered_vcf,{}
HAS_INPUT_SLOT,tool_id:bwa,io_slot:bwa::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:bwa,io_slot:bwa::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:diff_expr_kegg,io_slot:diff_expr_kegg::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:fastp,io_slot:fastp::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:fastqc,io_slot:fastqc::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:fastqc,io_slot:fastqc::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:featurecounts,io_slot:featurecounts::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:featurecounts,io_slot:featurecounts::input::sorted_dedup_bam,{}
HAS_INPUT_SLOT,tool_id:gatk,io_slot:gatk::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:gatk,io_slot:gatk::input::sorted_dedup_bam,{}
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::expression,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:multiqc,io_slot:multiqc::input::quality_control_report,{}
HAS_INPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::in::fastq_1,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:paired_fastq_to_unmapped_bam,io_slot:paired_fastq_to_unmapped_bam::in::fastq_2,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::fastq_1,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::fastq_2,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::gtf_file,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::rrna_star_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::rsem_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_singletask,io_slot:rnaseq_singletask::input::star_genome_index,{}
HAS_INPUT_SLOT,tool_id:rnaseq_unsupervised_cluster,io_slot:rnaseq_unsupervised_cluster::in::counts,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:rsem,io_slot:rsem::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:rsem,io_slot:rsem::input::transcriptome_bam,{}
HAS_INPUT_SLOT,tool_id:samtools,io_slot:samtools::input::aligned_bam,{}
HAS_INPUT_SLOT,tool_id:snpeff,io_slot:snpeff::input::filtered_vcf,{}
HAS_INPUT_SLOT,tool_id:snpeff,io_slot:snpeff::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:star,io_slot:star::input::clean_fastq_read,{}
HAS_INPUT_SLOT,tool_id:star,io_slot:star::input::genome_annotation,{}
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:survival_analysis,io_slot:survival_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:tmb_survival_analysis,io_slot:tmb_survival_analysis::in::metainfo,"{""order"":3}"
HAS_INPUT_SLOT,tool_id:trim_galore,io_slot:trim_galore::input::raw_fastq_read,{}
HAS_INPUT_SLOT,tool_id:wes_somatic_maf_landscape,io_slot:wes_somatic_maf_landscape::in::maf,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::clinical,"{""order"":2}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::counts,"{""order"":1}"
HAS_INPUT_SLOT,tool_id:wgcna,io_slot:wgcna::in::metainfo,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:bcftools,io_slot:bcftools::output::filtered_vcf,{}
HAS_OUTPUT_SLOT,tool_id:bwa,io_slot:bwa::output::aligned_bam,{}
HAS_OUTPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::out::differential,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::out::enrichment,"{""order"":2}"
