sample_accession,specimen_types,tissue_type
HRS169753,Peritumoral,Normal
HRS169754,Patient Solid Tissue,Tumor
HRS169755,Peritumoral,Normal
HRS169756,Patient Solid Tissue,Tumor
HRS169757,Peritumoral,Normal
HRS169758,Patient Solid Tissue,Tumor
HRS169759,Peritumoral,Normal
HRS169760,Patient Solid Tissue,Tumor
HRS169761,Peritumoral,Normal
HRS169762,Patient Solid Tissue,Tumor
HRS169763,Peritumoral,Normal
HRS169764,Patient Solid Tissue,Tumor
HRS169765,Peritumoral,Normal
HRS169766,Patient Solid Tissue,Tumor
HRS169767,Peritumoral,Normal
HRS169768,Patient Solid Tissue,Tumor
HRS169769,Peritumoral,Normal
HRS169770,Patient Solid Tissue,Tumor
HRS169771,Peritumoral,Normal
HRS169772,Patient Solid Tissue,Tumor
HRS169773,Peritumoral,Normal
HRS169774,Patient Solid Tissue,Tumor
HRS169775,Peritumoral,Normal
HRS169776,Patient Solid Tissue,Tumor
HRS169777,Peritumoral,Normal
HRS169778,Patient Solid Tissue,Tumor
HRS169779,Peritumoral,Normal
HRS169780,Patient Solid Tissue,Tumor
HRS169781,Peritumoral,Normal
HRS169782,Patient Solid Tissue,Tumor
HRS169783,Peritumoral,Normal
HRS169784,Patient Solid Tissue,Tumor
HRS169785,Peritumoral,Normal
HRS169786,Patient Solid Tissue,Tumor
HRS169787,Peritumoral,Normal
HRS169788,Patient Solid Tissue,Tumor
HRS169789,Peritumoral,Normal
HRS169790,Patient Solid Tissue,Tumor
HRS169791,Peritumoral,Normal
HRS169792,Patient Solid Tissue,Tumor
HRS169793,Peritumoral,Normal
HRS169794,Patient Solid Tissue,Tumor
HRS169795,Peritumoral,Normal
HRS169796,Patient Solid Tissue,Tumor
HRS169797,Peritumoral,Normal
HRS169798,Patient Solid Tissue,Tumor
HRS169799,Peritumoral,Normal
HRS169800,Patient Solid Tissue,Tumor
HRS169801,Peritumoral,Normal
HRS169802,Patient Solid Tissue,Tumor
HRS169803,Peritumoral,Normal
HRS169804,Patient Solid Tissue,Tumor
HRS169805,Peritumoral,Normal
HRS169806,Patient Solid Tissue,Tumor
HRS169807,Peritumoral,Normal
HRS169808,Patient Solid Tissue,Tumor
HRS169809,Peritumoral,Normal
HRS169810,Patient Solid Tissue,Tumor
HRS169811,Peritumoral,Normal
HRS169812,Patient Solid Tissue,Tumor
HRS169813,Peritumoral,Normal
HRS169814,Patient Solid Tissue,Tumor
HRS169815,Peritumoral,Normal
HRS169816,Patient Solid Tissue,Tumor
HRS169817,Peritumoral,Normal
HRS169818,Patient Solid Tissue,Tumor
HRS169819,Peritumoral,Normal
HRS169820,Patient Solid Tissue,Tumor
HRS169821,Peritumoral,Normal
HRS169822,Patient Solid Tissue,Tumor
HRS169823,Peritumoral,Normal
HRS169824,Patient Solid Tissue,Tumor
HRS169825,Peritumoral,Normal
HRS169826,Patient Solid Tissue,Tumor
HRS169827,Peritumoral,Normal
HRS169828,Patient Solid Tissue,Tumor
HRS169829,Peritumoral,Normal
HRS169830,Patient Solid Tissue,Tumor
HRS169831,Peritumoral,Normal
HRS169832,Patient Solid Tissue,Tumor
HRS169833,Peritumoral,Normal
HRS169834,Patient Solid Tissue,Tumor
HRS169835,Peritumoral,Normal
HRS169836,Patient Solid Tissue,Tumor
HRS169837,Peritumoral,Normal
HRS169838,Patient Solid Tissue,Tumor
HRS169839,Peritumoral,Normal
HRS169840,Patient Solid Tissue,Tumor
HRS169841,Peritumoral,Normal
HRS169842,Patient Solid Tissue,Tumor
HRS169843,Peritumoral,Normal
HRS169844,Patient Solid Tissue,Tumor
HRS169845,Peritumoral,Normal
HRS169846,Patient Solid Tissue,Tumor
HRS169847,Peritumoral,Normal
HRS169848,Patient Solid Tissue,Tumor
HRS169849,Peritumoral,Normal
HRS169850,Patient Solid Tissue,Tumor
HRS169851,Peritumoral,Normal
HRS169852,Patient Solid Tissue,Tumor
HRS169853,Peritumoral,Normal
HRS169854,Patient Solid Tissue,Tumor
HRS169855,Peritumoral,Normal
HRS169856,Patient Solid Tissue,Tumor
HRS169857,Peritumoral,Normal
HRS169858,Patient Solid Tissue,Tumor
HRS169859,Peritumoral,Normal
HRS169860,Patient Solid Tissue,Tumor
HRS169861,Peritumoral,Normal
HRS169862,Patient Solid Tissue,Tumor
HRS169863,Peritumoral,Normal
HRS169864,Patient Solid Tissue,Tumor
HRS169865,Peritumoral,Normal
HRS169866,Patient Solid Tissue,Tumor
HRS169867,Peritumoral,Normal
HRS169868,Patient Solid Tissue,Tumor
HRS169869,Peritumoral,Normal
HRS169870,Patient Solid Tissue,Tumor
HRS169871,Peritumoral,Normal
HRS169872,Patient Solid Tissue,Tumor
HRS169873,Peritumoral,Normal
HRS169874,Patient Solid Tissue,Tumor
HRS169875,Peritumoral,Normal
HRS169876,Patient Solid Tissue,Tumor
HRS169877,Peritumoral,Normal
HRS169878,Patient Solid Tissue,Tumor
HRS169879,Peritumoral,Normal
HRS169880,Patient Solid Tissue,Tumor
HRS169881,Peritumoral,Normal
HRS169882,Patient Solid Tissue,Tumor
HRS169883,Peritumoral,Normal
HRS169884,Patient Solid Tissue,Tumor
HRS169885,Peritumoral,Normal
HRS169886,Patient Solid Tissue,Tumor
HRS169887,Peritumoral,Normal
HRS169888,Patient Solid Tissue,Tumor
HRS169889,Peritumoral,Normal
HRS169890,Patient Solid Tissue,Tumor
HRS169891,Peritumoral,Normal
HRS169892,Patient Solid Tissue,Tumor
HRS169893,Peritumoral,Normal
HRS169894,Patient Solid Tissue,Tumor
HRS169895,Peritumoral,Normal
HRS169896,Patient Solid Tissue,Tumor
HRS169897,Peritumoral,Normal
HRS169898,Patient Solid Tissue,Tumor
HRS169899,Peritumoral,Normal
HRS169900,Patient Solid Tissue,Tumor
HRS169901,Peritumoral,Normal
HRS169902,Patient Solid Tissue,Tumor
HRS169903,Peritumoral,Normal
HRS169904,Patient Solid Tissue,Tumor
HRS169905,Peritumoral,Normal
HRS169906,Patient Solid Tissue,Tumor
HRS169907,Peritumoral,Normal
HRS169908,Patient Solid Tissue,Tumor
HRS169909,Peritumoral,Normal
HRS169910,Patient Solid Tissue,Tumor
HRS169911,Peritumoral,Normal
HRS169912,Patient Solid Tissue,Tumor
HRS169913,Peritumoral,Normal
HRS169914,Patient Solid Tissue,Tumor
HRS169915,Peritumoral,Normal
HRS169916,Patient Solid Tissue,Tumor
HRS169917,Peritumoral,Normal
HRS169918,Patient Solid Tissue,Tumor
HRS169919,Peritumoral,Normal
HRS169920,Patient Solid Tissue,Tumor
HRS169921,Peritumoral,Normal
HRS169922,Patient Solid Tissue,Tumor
HRS169923,Peritumoral,Normal
HRS169924,Patient Solid Tissue,Tumor
HRS169925,Peritumoral,Normal
HRS169926,Patient Solid Tissue,Tumor
HRS169927,Peritumoral,Normal
HRS169928,Patient Solid Tissue,Tumor
HRS169929,Peritumoral,Normal
HRS169930,Patient Solid Tissue,Tumor
HRS169931,Peritumoral,Normal
HRS169932,Patient Solid Tissue,Tumor
HRS169933,Peritumoral,Normal
HRS169934,Patient Solid Tissue,Tumor
HRS169935,Peritumoral,Normal
HRS169936,Patient Solid Tissue,Tumor
HRS169937,Peritumoral,Normal
HRS169938,Patient Solid Tissue,Tumor
HRS169939,Peritumoral,Normal
HRS169940,Patient Solid Tissue,Tumor
HRS169941,Peritumoral,Normal
HRS169942,Patient Solid Tissue,Tumor
HRS169943,Peritumoral,Normal
HRS169944,Patient Solid Tissue,Tumor
HRS169945,Peritumoral,Normal
HRS169946,Patient Solid Tissue,Tumor
HRS169947,Peritumoral,Normal
HRS169948,Patient Solid Tissue,Tumor
HRS169949,Peritumoral,Normal
HRS169950,Patient Solid Tissue,Tumor
HRS169951,Peritumoral,Normal
HRS169952,Patient Solid Tissue,Tumor
HRS169953,Peritumoral,Normal
HRS169954,Patient Solid Tissue,Tumor
HRS169955,Peritumoral,Normal
HRS169956,Patient Solid Tissue,Tumor
HRS169957,Peritumoral,Normal
HRS169958,Patient Solid Tissue,Tumor
HRS169959,Peritumoral,Normal
HRS169960,Patient Solid Tissue,Tumor
HRS169961,Peritumoral,Normal
HRS169962,Patient Solid Tissue,Tumor
HRS169963,Peritumoral,Normal
HRS169964,Patient Solid Tissue,Tumor
HRS169965,Peritumoral,Normal
HRS169966,Patient Solid Tissue,Tumor
HRS169967,Peritumoral,Normal
HRS169968,Patient Solid Tissue,Tumor
HRS169969,Peritumoral,Normal
HRS169970,Patient Solid Tissue,Tumor
HRS169971,Peritumoral,Normal
HRS169972,Patient Solid Tissue,Tumor
HRS169973,Peritumoral,Normal
HRS169974,Patient Solid Tissue,Tumor
HRS169975,Peritumoral,Normal
HRS169976,Patient Solid Tissue,Tumor
HRS169977,Peritumoral,Normal
HRS169978,Patient Solid Tissue,Tumor
HRS169979,Peritumoral,Normal
HRS169980,Patient Solid Tissue,Tumor
HRS169981,Peritumoral,Normal
HRS169982,Patient Solid Tissue,Tumor
HRS169983,Peritumoral,Normal
HRS169984,Patient Solid Tissue,Tumor
HRS169985,Peritumoral,Normal
HRS169986,Patient Solid Tissue,Tumor
HRS169987,Peritumoral,Normal
HRS169988,Patient Solid Tissue,Tumor
HRS169989,Peritumoral,Normal
HRS169990,Patient Solid Tissue,Tumor
HRS169991,Peritumoral,Normal
HRS169992,Patient Solid Tissue,Tumor
HRS169993,Peritumoral,Normal
HRS169994,Patient Solid Tissue,Tumor
HRS169995,Peritumoral,Normal
HRS169996,Patient Solid Tissue,Tumor
HRS169997,Peritumoral,Normal
HRS169998,Patient Solid Tissue,Tumor
HRS169999,Peritumoral,Normal
HRS170000,Patient Solid Tissue,Tumor
HRS170001,Peritumoral,Normal
HRS170002,Patient Solid Tissue,Tumor
HRS170003,Peritumoral,Normal
HRS170004,Patient Solid Tissue,Tumor
HRS170005,Peritumoral,Normal
HRS170006,Patient Solid Tissue,Tumor
HRS170007,Peritumoral,Normal
HRS170008,Patient Solid Tissue,Tumor
HRS170009,Peritumoral,Normal
HRS170010,Patient Solid Tissue,Tumor
HRS170011,Peritumoral,Normal
HRS170012,Patient Solid Tissue,Tumor
HRS170013,Peritumoral,Normal
HRS170014,Patient Solid Tissue,Tumor
HRS170015,Peritumoral,Normal
HRS170016,Patient Solid Tissue,Tumor
HRS170017,Peritumoral,Normal
HRS170018,Patient Solid Tissue,Tumor
HRS170019,Peritumoral,Normal
HRS170020,Patient Solid Tissue,Tumor
HRS170021,Peritumoral,Normal
HRS170022,Patient Solid Tissue,Tumor
HRS170023,Peritumoral,Normal
HRS170024,Patient Solid Tissue,Tumor
HRS170025,Peritumoral,Normal
HRS170026,Patient Solid Tissue,Tumor
HRS170027,Peritumoral,Normal
HRS170028,Patient Solid Tissue,Tumor
HRS170029,Peritumoral,Normal
HRS170030,Patient Solid Tissue,Tumor
HRS170031,Peritumoral,Normal
HRS170032,Patient Solid Tissue,Tumor
HRS170033,Peritumoral,Normal
HRS170034,Patient Solid Tissue,Tumor
HRS170035,Peritumoral,Normal
HRS170036,Patient Solid Tissue,Tumor
HRS170037,Peritumoral,Normal
HRS170038,Patient Solid Tissue,Tumor
HRS170039,Peritumoral,Normal
HRS170040,Patient Solid Tissue,Tumor
HRS170041,Peritumoral,Normal
HRS170042,Patient Solid Tissue,Tumor
HRS170043,Peritumoral,Normal
HRS170044,Patient Solid Tissue,Tumor
HRS170045,Peritumoral,Normal
HRS170046,Patient Solid Tissue,Tumor
HRS170047,Peritumoral,Normal
HRS170048,Patient Solid Tissue,Tumor
HRS170049,Peritumoral,Normal
HRS170050,Patient Solid Tissue,Tumor
HRS170051,Peritumoral,Normal
HRS170052,Patient Solid Tissue,Tumor
HRS170053,Peritumoral,Normal
HRS170054,Patient Solid Tissue,Tumor
HRS170055,Peritumoral,Normal
HRS170056,Patient Solid Tissue,Tumor
HRS170057,Peritumoral,Normal
HRS170058,Patient Solid Tissue,Tumor
HRS170059,Peritumoral,Normal
HRS170060,Patient Solid Tissue,Tumor
HRS170061,Peritumoral,Normal
HRS170062,Patient Solid Tissue,Tumor
HRS170063,Peritumoral,Normal
HRS170064,Patient Solid Tissue,Tumor
HRS170065,Peritumoral,Normal
HRS170066,Patient Solid Tissue,Tumor
HRS170067,Peritumoral,Normal
HRS170068,Patient Solid Tissue,Tumor
HRS170069,Peritumoral,Normal
HRS170070,Patient Solid Tissue,Tumor
HRS170071,Peritumoral,Normal
HRS170072,Patient Solid Tissue,Tumor
HRS170073,Peritumoral,Normal
HRS170074,Patient Solid Tissue,Tumor
HRS170075,Peritumoral,Normal
HRS170076,Patient Solid Tissue,Tumor
HRS170077,Peritumoral,Normal
HRS170078,Patient Solid Tissue,Tumor
HRS170079,Peritumoral,Normal
HRS170080,Patient Solid Tissue,Tumor
HRS170081,Peritumoral,Normal
HRS170082,Patient Solid Tissue,Tumor
HRS170083,Peritumoral,Normal
HRS170084,Patient Solid Tissue,Tumor
HRS170085,Peritumoral,Normal
HRS170086,Patient Solid Tissue,Tumor
HRS170087,Peritumoral,Normal
HRS170088,Patient Solid Tissue,Tumor
HRS170089,Peritumoral,Normal
HRS170090,Patient Solid Tissue,Tumor
HRS170091,Peritumoral,Normal
HRS170092,Patient Solid Tissue,Tumor
HRS170093,Peritumoral,Normal
HRS170094,Patient Solid Tissue,Tumor
HRS170095,Peritumoral,Normal
HRS170096,Patient Solid Tissue,Tumor
HRS170097,Peritumoral,Normal
HRS170098,Patient Solid Tissue,Tumor
HRS170099,Peritumoral,Normal
HRS170100,Patient Solid Tissue,Tumor
HRS170101,Peritumoral,Normal
HRS170102,Patient Solid Tissue,Tumor
HRS170103,Peritumoral,Normal
HRS170104,Patient Solid Tissue,Tumor
HRS170105,Peritumoral,Normal
HRS170106,Patient Solid Tissue,Tumor
HRS170107,Peritumoral,Normal
HRS170108,Patient Solid Tissue,Tumor
HRS170109,Peritumoral,Normal
HRS170110,Patient Solid Tissue,Tumor
HRS170111,Peritumoral,Normal
HRS170112,Patient Solid Tissue,Tumor
HRS170113,Peritumoral,Normal
HRS170114,Patient Solid Tissue,Tumor
HRS170115,Peritumoral,Normal
HRS170116,Patient Solid Tissue,Tumor
HRS170117,Peritumoral,Normal
HRS170118,Patient Solid Tissue,Tumor
HRS170119,Peritumoral,Normal
HRS170120,Patient Solid Tissue,Tumor
HRS170121,Peritumoral,Normal
HRS170122,Patient Solid Tissue,Tumor
HRS170123,Peritumoral,Normal
HRS170124,Patient Solid Tissue,Tumor
HRS170125,Peritumoral,Normal
HRS170126,Patient Solid Tissue,Tumor
HRS170127,Peritumoral,Normal
HRS170128,Patient Solid Tissue,Tumor
HRS170129,Peritumoral,Normal
HRS170130,Patient Solid Tissue,Tumor
HRS170131,Peritumoral,Normal
HRS170132,Patient Solid Tissue,Tumor
HRS170133,Peritumoral,Normal
HRS170134,Patient Solid Tissue,Tumor
HRS170135,Peritumoral,Normal
HRS170136,Patient Solid Tissue,Tumor
HRS170137,Peritumoral,Normal
HRS170138,Patient Solid Tissue,Tumor
HRS170139,Peritumoral,Normal
HRS170140,Patient Solid Tissue,Tumor
HRS170141,Peritumoral,Normal
HRS170142,Patient Solid Tissue,Tumor
HRS170143,Peritumoral,Normal
HRS170144,Patient Solid Tissue,Tumor
HRS170145,Peritumoral,Normal
HRS170146,Patient Solid Tissue,Tumor
HRS170147,Peritumoral,Normal
HRS170148,Patient Solid Tissue,Tumor
HRS170149,Peritumoral,Normal
HRS170150,Patient Solid Tissue,Tumor
HRS170151,Peritumoral,Normal
HRS170152,Patient Solid Tissue,Tumor
HRS170153,Peritumoral,Normal
HRS170154,Patient Solid Tissue,Tumor
HRS170155,Peritumoral,Normal
HRS170156,Patient Solid Tissue,Tumor
HRS170157,Peritumoral,Normal
HRS170158,Patient Solid Tissue,Tumor
HRS170159,Peritumoral,Normal
HRS170160,Patient Solid Tissue,Tumor
HRS170161,Peritumoral,Normal
HRS170162,Patient Solid Tissue,Tumor
HRS170163,Peritumoral,Normal
HRS170164,Patient Solid Tissue,Tumor
HRS170165,Peritumoral,Normal
HRS170166,Patient Solid Tissue,Tumor
HRS170167,Peritumoral,Normal
HRS170168,Patient Solid Tissue,Tumor
HRS170169,Peritumoral,Normal
HRS170170,Patient Solid Tissue,Tumor
HRS170171,Peritumoral,Normal
HRS170172,Patient Solid Tissue,Tumor
HRS170173,Peritumoral,Normal
HRS170174,Patient Solid Tissue,Tumor
HRS170175,Peritumoral,Normal
HRS170176,Patient Solid Tissue,Tumor
HRS170177,Peritumoral,Normal
HRS170178,Patient Solid Tissue,Tumor
HRS170179,Peritumoral,Normal
HRS170180,Patient Solid Tissue,Tumor
HRS170181,Peritumoral,Normal
HRS170182,Patient Solid Tissue,Tumor
HRS170183,Peritumoral,Normal
HRS170184,Patient Solid Tissue,Tumor
HRS170185,Peritumoral,Normal
HRS170186,Patient Solid Tissue,Tumor
HRS170187,Peritumoral,Normal
HRS170188,Patient Solid Tissue,Tumor
HRS170189,Peritumoral,Normal
HRS170190,Patient Solid Tissue,Tumor
HRS170191,Peritumoral,Normal
HRS170192,Patient Solid Tissue,Tumor
HRS170193,Peritumoral,Normal
HRS170194,Patient Solid Tissue,Tumor
HRS170195,Peritumoral,Normal
HRS170196,Patient Solid Tissue,Tumor
HRS170197,Peritumoral,Normal
HRS170198,Patient Solid Tissue,Tumor
HRS170199,Peritumoral,Normal
HRS170200,Patient Solid Tissue,Tumor
HRS170201,Peritumoral,Normal
HRS170202,Patient Solid Tissue,Tumor
HRS170203,Peritumoral,Normal
HRS170204,Patient Solid Tissue,Tumor
HRS170205,Peritumoral,Normal
HRS170206,Patient Solid Tissue,Tumor
HRS170207,Peritumoral,Normal
HRS170208,Patient Solid Tissue,Tumor
HRS170209,Peritumoral,Normal
HRS170210,Patient Solid Tissue,Tumor
HRS170211,Peritumoral,Normal
HRS170212,Patient Solid Tissue,Tumor
HRS170213,Peritumoral,Normal
HRS170214,Patient Solid Tissue,Tumor
HRS170215,Peritumoral,Normal
HRS170216,Patient Solid Tissue,Tumor
HRS170217,Peritumoral,Normal
HRS170218,Patient Solid Tissue,Tumor
HRS170219,Peritumoral,Normal
HRS170220,Patient Solid Tissue,Tumor
HRS170221,Peritumoral,Normal
HRS170222,Patient Solid Tissue,Tumor
HRS170223,Peritumoral,Normal
HRS170224,Patient Solid Tissue,Tumor
HRS170225,Peritumoral,Normal
HRS170226,Patient Solid Tissue,Tumor
HRS170227,Peritumoral,Normal
HRS170228,Patient Solid Tissue,Tumor
HRS170229,Peritumoral,Normal
HRS170230,Patient Solid Tissue,Tumor
HRS170231,Peritumoral,Normal
HRS170232,Patient Solid Tissue,Tumor
HRS170233,Peritumoral,Normal
HRS170234,Patient Solid Tissue,Tumor
HRS170235,Peritumoral,Normal
HRS170236,Patient Solid Tissue,Tumor
HRS170237,Peritumoral,Normal
HRS170238,Patient Solid Tissue,Tumor
HRS170239,Peritumoral,Normal
HRS170240,Patient Solid Tissue,Tumor
HRS170241,Peritumoral,Normal
HRS170242,Patient Solid Tissue,Tumor
HRS170243,Peritumoral,Normal
HRS170244,Patient Solid Tissue,Tumor
HRS170245,Peritumoral,Normal
HRS170246,Patient Solid Tissue,Tumor
HRS170247,Peritumoral,Normal
HRS170248,Patient Solid Tissue,Tumor
HRS170249,Peritumoral,Normal
HRS170250,Patient Solid Tissue,Tumor
HRS170251,Peritumoral,Normal
HRS170252,Patient Solid Tissue,Tumor
HRS170253,Peritumoral,Normal
HRS170254,Patient Solid Tissue,Tumor
HRS170255,Peritumoral,Normal
HRS170256,Patient Solid Tissue,Tumor
HRS170257,Peritumoral,Normal
HRS170258,Patient Solid Tissue,Tumor
HRS170259,Peritumoral,Normal
HRS170260,Patient Solid Tissue,Tumor
HRS170261,Peritumoral,Normal
HRS170262,Patient Solid Tissue,Tumor
HRS170263,Peritumoral,Normal
HRS170264,Patient Solid Tissue,Tumor
HRS170265,Peritumoral,Normal
HRS170266,Patient Solid Tissue,Tumor
HRS170267,Peritumoral,Normal
HRS170268,Patient Solid Tissue,Tumor
HRS170269,Peritumoral,Normal
HRS170270,Patient Solid Tissue,Tumor
HRS170271,Peritumoral,Normal
HRS170272,Patient Solid Tissue,Tumor
HRS170273,Peritumoral,Normal
HRS170274,Patient Solid Tissue,Tumor
HRS170275,Peritumoral,Normal
HRS170276,Patient Solid Tissue,Tumor
HRS170277,Peritumoral,Normal
HRS170278,Patient Solid Tissue,Tumor
HRS170279,Peritumoral,Normal
HRS170280,Patient Solid Tissue,Tumor
HRS170281,Peritumoral,Normal
HRS170282,Patient Solid Tissue,Tumor
HRS170283,Peritumoral,Normal
HRS170284,Patient Solid Tissue,Tumor
HRS170285,Peritumoral,Normal
HRS170286,Patient Solid Tissue,Tumor
HRS170287,Peritumoral,Normal
HRS170288,Patient Solid Tissue,Tumor
HRS170289,Peritumoral,Normal
HRS170290,Patient Solid Tissue,Tumor
HRS170291,Peritumoral,Normal
HRS170292,Patient Solid Tissue,Tumor
HRS170293,Peritumoral,Normal
HRS170294,Patient Solid Tissue,Tumor
HRS170295,Peritumoral,Normal
HRS170296,Patient Solid Tissue,Tumor
HRS170297,Peritumoral,Normal
HRS170298,Patient Solid Tissue,Tumor
HRS170299,Peritumoral,Normal
HRS170300,Patient Solid Tissue,Tumor
HRS170301,Peritumoral,Normal
HRS170302,Patient Solid Tissue,Tumor
HRS170303,Peritumoral,Normal
HRS170304,Patient Solid Tissue,Tumor
HRS170305,Peritumoral,Normal
HRS170306,Patient Solid Tissue,Tumor
HRS170307,Peritumoral,Normal
HRS170308,Patient Solid Tissue,Tumor
HRS170309,Peritumoral,Normal
HRS170310,Patient Solid Tissue,Tumor
HRS170311,Peritumoral,Normal
HRS170312,Patient Solid Tissue,Tumor
HRS170313,Peritumoral,Normal
HRS170314,Patient Solid Tissue,Tumor
HRS170315,Peritumoral,Normal
HRS170316,Patient Solid Tissue,Tumor
HRS170317,Peritumoral,Normal
HRS170318,Patient Solid Tissue,Tumor
HRS170319,Peritumoral,Normal
HRS170320,Patient Solid Tissue,Tumor
HRS170321,Peritumoral,Normal
HRS170322,Patient Solid Tissue,Tumor
HRS170323,Peritumoral,Normal
HRS170324,Patient Solid Tissue,Tumor
HRS170325,Peritumoral,Normal
HRS170326,Patient Solid Tissue,Tumor
HRS170327,Peritumoral,Normal
HRS170328,Patient Solid Tissue,Tumor
HRS170329,Peritumoral,Normal
HRS170330,Patient Solid Tissue,Tumor
HRS170331,Peritumoral,Normal
HRS170332,Patient Solid Tissue,Tumor
HRS170333,Peritumoral,Normal
HRS170334,Patient Solid Tissue,Tumor
HRS170335,Peritumoral,Normal
HRS170336,Patient Solid Tissue,Tumor
HRS170337,Peritumoral,Normal
HRS170338,Patient Solid Tissue,Tumor
HRS170339,Peritumoral,Normal
HRS170340,Patient Solid Tissue,Tumor
HRS170341,Peritumoral,Normal
HRS170342,Patient Solid Tissue,Tumor
HRS170343,Peritumoral,Normal
HRS170344,Patient Solid Tissue,Tumor
HRS170345,Peritumoral,Normal
HRS170346,Patient Solid Tissue,Tumor
HRS170347,Peritumoral,Normal
HRS170348,Patient Solid Tissue,Tumor
HRS170349,Peritumoral,Normal
HRS170350,Patient Solid Tissue,Tumor
HRS170351,Peritumoral,Normal
HRS170352,Patient Solid Tissue,Tumor
HRS170353,Peritumoral,Normal
HRS170354,Patient Solid Tissue,Tumor
HRS170355,Peritumoral,Normal
HRS170356,Patient Solid Tissue,Tumor
HRS170357,Peritumoral,Normal
HRS170358,Patient Solid Tissue,Tumor
HRS170359,Peritumoral,Normal
HRS170360,Patient Solid Tissue,Tumor
HRS170361,Peritumoral,Normal
HRS170362,Patient Solid Tissue,Tumor
HRS170363,Peritumoral,Normal
HRS170364,Patient Solid Tissue,Tumor
HRS170365,Peritumoral,Normal
HRS170366,Patient Solid Tissue,Tumor
HRS170367,Peritumoral,Normal
HRS170368,Patient Solid Tissue,Tumor
HRS170369,Peritumoral,Normal
HRS170370,Patient Solid Tissue,Tumor
HRS170371,Peritumoral,Normal
HRS170372,Patient Solid Tissue,Tumor
HRS170373,Peritumoral,Normal
HRS170374,Patient Solid Tissue,Tumor
HRS170375,Peritumoral,Normal
HRS170376,Patient Solid Tissue,Tumor
HRS170377,Peritumoral,Normal
HRS170378,Patient Solid Tissue,Tumor
HRS170379,Peritumoral,Normal
HRS170380,Patient Solid Tissue,Tumor
HRS170381,Peritumoral,Normal
HRS170382,Patient Solid Tissue,Tumor
HRS170383,Peritumoral,Normal
HRS170384,Patient Solid Tissue,Tumor
HRS170385,Peritumoral,Normal
HRS170386,Patient Solid Tissue,Tumor
HRS170387,Peritumoral,Normal
HRS170388,Patient Solid Tissue,Tumor
HRS170389,Peritumoral,Normal
HRS170390,Patient Solid Tissue,Tumor
HRS170391,Peritumoral,Normal
HRS170392,Patient Solid Tissue,Tumor
HRS170393,Peritumoral,Normal
HRS170394,Patient Solid Tissue,Tumor
HRS170395,Peritumoral,Normal
HRS170396,Patient Solid Tissue,Tumor
HRS170397,Peritumoral,Normal
HRS170398,Patient Solid Tissue,Tumor
HRS170399,Peritumoral,Normal
HRS170400,Patient Solid Tissue,Tumor
HRS170401,Peritumoral,Normal
HRS170402,Patient Solid Tissue,Tumor
HRS170403,Peritumoral,Normal
HRS170404,Patient Solid Tissue,Tumor
HRS170405,Peritumoral,Normal
HRS170406,Patient Solid Tissue,Tumor
HRS170407,Peritumoral,Normal
HRS170408,Patient Solid Tissue,Tumor
HRS170409,Peritumoral,Normal
HRS170410,Patient Solid Tissue,Tumor
HRS170411,Peritumoral,Normal
HRS170412,Patient Solid Tissue,Tumor
HRS170413,Peritumoral,Normal
HRS170414,Patient Solid Tissue,Tumor
HRS170415,Peritumoral,Normal
HRS170416,Patient Solid Tissue,Tumor
HRS170417,Peritumoral,Normal
HRS170418,Patient Solid Tissue,Tumor
HRS170419,Peritumoral,Normal
HRS170420,Patient Solid Tissue,Tumor
HRS170421,Peritumoral,Normal
HRS170422,Patient Solid Tissue,Tumor
HRS170423,Peritumoral,Normal
HRS170424,Patient Solid Tissue,Tumor
HRS170425,Peritumoral,Normal
HRS170426,Patient Solid Tissue,Tumor
HRS170427,Peritumoral,Normal
HRS170428,Patient Solid Tissue,Tumor
HRS170429,Peritumoral,Normal
HRS170430,Patient Solid Tissue,Tumor
HRS170431,Peritumoral,Normal
HRS170432,Patient Solid Tissue,Tumor
HRS170433,Peritumoral,Normal
HRS170434,Patient Solid Tissue,Tumor
HRS170435,Peritumoral,Normal
HRS170436,Patient Solid Tissue,Tumor
HRS170437,Peritumoral,Normal
HRS170438,Patient Solid Tissue,Tumor
HRS170439,Peritumoral,Normal
HRS170440,Patient Solid Tissue,Tumor
HRS170441,Peritumoral,Normal
HRS170442,Patient Solid Tissue,Tumor
HRS170443,Peritumoral,Normal
HRS170444,Patient Solid Tissue,Tumor
HRS170445,Peritumoral,Normal
HRS170446,Patient Solid Tissue,Tumor
HRS170447,Peritumoral,Normal
HRS170448,Patient Solid Tissue,Tumor
HRS170449,Peritumoral,Normal
HRS170450,Patient Solid Tissue,Tumor
HRS170451,Peritumoral,Normal
HRS170452,Patient Solid Tissue,Tumor
HRS170453,Peritumoral,Normal
HRS170454,Patient Solid Tissue,Tumor
HRS170455,Peritumoral,Normal
HRS170456,Patient Solid Tissue,Tumor
HRS170457,Peritumoral,Normal
HRS170458,Patient Solid Tissue,Tumor
HRS170459,Peritumoral,Normal
HRS170460,Patient Solid Tissue,Tumor
HRS170461,Peritumoral,Normal
HRS170462,Patient Solid Tissue,Tumor
HRS170463,Peritumoral,Normal
HRS170464,Patient Solid Tissue,Tumor
HRS170465,Peritumoral,Normal
HRS170466,Patient Solid Tissue,Tumor
HRS170467,Peritumoral,Normal
HRS170468,Patient Solid Tissue,Tumor
HRS170469,Peritumoral,Normal
