sample_accession,specimen_types,tissue_type
HRS023739,Patient Solid Tissue,Tumor
HRS023740,Patient Solid Tissue,Tumor
HRS023741,Patient Solid Tissue,Tumor
HRS023742,Patient Solid Tissue,Tumor
HRS023743,Patient Solid Tissue,Tumor
HRS023744,Patient Solid Tissue,Tumor
HRS023745,Patient Solid Tissue,Tumor
HRS023746,Patient Solid Tissue,Tumor
HRS023747,Patient Solid Tissue,Tumor
HRS023748,Patient Solid Tissue,Tumor
HRS023749,Patient Solid Tissue,Tumor
HRS023750,Patient Solid Tissue,Tumor
HRS023751,Patient Solid Tissue,Tumor
HRS023752,Patient Solid Tissue,Tumor
HRS023753,Patient Solid Tissue,Tumor
HRS023754,Patient Solid Tissue,Tumor
HRS023755,Patient Solid Tissue,Tumor
HRS023756,Patient Solid Tissue,Tumor
HRS023757,Patient Solid Tissue,Tumor
HRS023758,Patient Solid Tissue,Tumor
HRS023759,Patient Solid Tissue,Tumor
HRS023760,Patient Solid Tissue,Tumor
HRS023761,Patient Solid Tissue,Tumor
HRS023762,Patient Solid Tissue,Tumor
HRS023763,Patient Solid Tissue,Tumor
HRS023764,Patient Solid Tissue,Tumor
HRS023765,Patient Solid Tissue,Tumor
HRS023766,Patient Solid Tissue,Tumor
HRS023767,Patient Solid Tissue,Tumor
HRS023768,Patient Solid Tissue,Tumor
HRS023769,Patient Solid Tissue,Tumor
HRS023770,Patient Solid Tissue,Tumor
HRS023771,Patient Solid Tissue,Tumor
HRS023772,Patient Solid Tissue,Tumor
HRS023773,Patient Solid Tissue,Tumor
HRS023774,Patient Solid Tissue,Tumor
HRS023775,Patient Solid Tissue,Tumor
HRS023776,Patient Solid Tissue,Tumor
HRS023777,Patient Solid Tissue,Tumor
HRS023778,Patient Solid Tissue,Tumor
HRS023779,Patient Solid Tissue,Tumor
HRS023780,Patient Solid Tissue,Tumor
HRS023781,Patient Solid Tissue,Tumor
HRS023782,Patient Solid Tissue,Tumor
HRS023783,Patient Solid Tissue,Tumor
HRS023784,Patient Solid Tissue,Tumor
HRS023785,Patient Solid Tissue,Tumor
HRS023786,Patient Solid Tissue,Tumor
HRS023787,Patient Solid Tissue,Tumor
HRS023788,Patient Solid Tissue,Tumor
HRS023789,Patient Solid Tissue,Tumor
HRS023790,Patient Solid Tissue,Tumor
HRS023791,Patient Solid Tissue,Tumor
HRS023792,Patient Solid Tissue,Tumor
HRS023793,Patient Solid Tissue,Tumor
HRS023794,Patient Solid Tissue,Tumor
HRS023795,Patient Solid Tissue,Tumor
HRS023796,Patient Solid Tissue,Tumor
HRS023797,Patient Solid Tissue,Tumor
HRS023798,Patient Solid Tissue,Tumor
HRS023799,Patient Solid Tissue,Tumor
HRS023800,Patient Solid Tissue,Tumor
HRS023801,Patient Solid Tissue,Tumor
HRS023802,Patient Solid Tissue,Tumor
HRS023803,Patient Solid Tissue,Tumor
HRS023804,Patient Solid Tissue,Tumor
HRS023805,Patient Solid Tissue,Tumor
HRS023806,Patient Solid Tissue,Tumor
HRS023807,Patient Solid Tissue,Tumor
HRS023808,Patient Solid Tissue,Tumor
HRS023809,Patient Solid Tissue,Tumor
HRS023810,Patient Solid Tissue,Tumor
HRS023811,Patient Solid Tissue,Tumor
HRS023812,Patient Solid Tissue,Tumor
HRS023813,Patient Solid Tissue,Tumor
HRS023814,Patient Solid Tissue,Tumor
HRS023815,Patient Solid Tissue,Tumor
HRS023816,Patient Solid Tissue,Tumor
HRS023817,Patient Solid Tissue,Tumor
HRS023818,Patient Solid Tissue,Tumor
HRS023819,Patient Solid Tissue,Tumor
HRS023820,Patient Solid Tissue,Tumor
HRS023821,Patient Solid Tissue,Tumor
HRS023822,Patient Solid Tissue,Tumor
HRS023823,Patient Solid Tissue,Tumor
HRS023824,Patient Solid Tissue,Tumor
HRS023825,Patient Solid Tissue,Tumor
HRS023826,Patient Solid Tissue,Tumor
HRS023827,Patient Solid Tissue,Tumor
HRS023828,Patient Solid Tissue,Tumor
HRS023829,Patient Solid Tissue,Tumor
HRS023830,Patient Solid Tissue,Tumor
HRS023831,Patient Solid Tissue,Tumor
HRS023832,Patient Solid Tissue,Tumor
HRS023833,Patient Solid Tissue,Tumor
HRS023834,Patient Solid Tissue,Tumor
HRS023835,Patient Solid Tissue,Tumor
HRS023836,Patient Solid Tissue,Tumor
HRS023837,Patient Solid Tissue,Tumor
HRS023838,Patient Solid Tissue,Tumor
HRS023839,Patient Solid Tissue,Tumor
HRS023840,Patient Solid Tissue,Tumor
HRS023841,Patient Solid Tissue,Tumor
HRS023842,Patient Solid Tissue,Tumor
HRS023843,Patient Solid Tissue,Tumor
HRS023844,Patient Solid Tissue,Tumor
HRS023845,Patient Solid Tissue,Tumor
HRS023846,Patient Solid Tissue,Tumor
HRS023847,Patient Solid Tissue,Tumor
HRS023848,Patient Solid Tissue,Tumor
HRS023849,Patient Solid Tissue,Tumor
HRS023850,Patient Solid Tissue,Tumor
HRS023851,Patient Solid Tissue,Tumor
HRS023852,Patient Solid Tissue,Tumor
HRS023853,Patient Solid Tissue,Tumor
HRS023854,Patient Solid Tissue,Tumor
HRS023855,Patient Solid Tissue,Tumor
HRS023856,Patient Solid Tissue,Tumor
HRS023857,Patient Solid Tissue,Tumor
HRS023858,Patient Solid Tissue,Tumor
HRS023859,Patient Solid Tissue,Tumor
HRS023860,Patient Solid Tissue,Tumor
HRS023861,Patient Solid Tissue,Tumor
HRS023862,Patient Solid Tissue,Tumor
HRS023863,Patient Solid Tissue,Tumor
HRS023864,Patient Solid Tissue,Tumor
HRS023865,Patient Solid Tissue,Tumor
HRS023866,Patient Solid Tissue,Tumor
HRS023867,Patient Solid Tissue,Tumor
HRS023868,Patient Solid Tissue,Tumor
HRS023869,Patient Solid Tissue,Tumor
HRS023870,Patient Solid Tissue,Tumor
HRS023871,Patient Solid Tissue,Tumor
HRS023872,Patient Solid Tissue,Tumor
HRS023873,Patient Solid Tissue,Tumor
HRS023874,Patient Solid Tissue,Tumor
HRS023875,Patient Solid Tissue,Tumor
HRS023876,Patient Solid Tissue,Tumor
HRS023877,Patient Solid Tissue,Tumor
HRS023878,Patient Solid Tissue,Tumor
HRS023879,Patient Solid Tissue,Tumor
HRS023880,Patient Solid Tissue,Tumor
HRS023881,Patient Solid Tissue,Tumor
HRS023882,Patient Solid Tissue,Tumor
HRS023883,Patient Solid Tissue,Tumor
HRS023884,Patient Solid Tissue,Tumor
HRS023885,Patient Solid Tissue,Tumor
HRS023886,Patient Solid Tissue,Tumor
HRS023887,Patient Solid Tissue,Tumor
HRS023888,Patient Solid Tissue,Tumor
HRS023889,Patient Solid Tissue,Tumor
HRS023890,Patient Solid Tissue,Tumor
HRS023891,Patient Solid Tissue,Tumor
HRS023892,Patient Solid Tissue,Tumor
HRS023893,Patient Solid Tissue,Tumor
HRS023894,Patient Solid Tissue,Tumor
HRS023895,Patient Solid Tissue,Tumor
HRS023896,Patient Solid Tissue,Tumor
HRS023897,Patient Solid Tissue,Tumor
HRS023898,Patient Solid Tissue,Tumor
HRS023899,Patient Solid Tissue,Tumor
HRS023900,Patient Solid Tissue,Tumor
HRS023901,Patient Solid Tissue,Tumor
HRS023902,Patient Solid Tissue,Tumor
HRS023903,Patient Solid Tissue,Tumor
HRS023904,Patient Solid Tissue,Tumor
HRS023905,Patient Solid Tissue,Tumor
HRS023906,Patient Solid Tissue,Tumor
HRS023907,Patient Solid Tissue,Tumor
HRS023908,Patient Solid Tissue,Tumor
HRS023909,Patient Solid Tissue,Tumor
HRS023910,Patient Solid Tissue,Tumor
HRS023911,Patient Solid Tissue,Tumor
HRS023912,Patient Solid Tissue,Tumor
HRS023913,Patient Solid Tissue,Tumor
HRS023914,Patient Solid Tissue,Tumor
HRS023915,Patient Solid Tissue,Tumor
HRS023916,Patient Solid Tissue,Tumor
HRS023917,Patient Solid Tissue,Tumor
HRS023918,Patient Solid Tissue,Tumor
