files,data_level
HRR024864_r2.fq.gz,1
HRR024865_f1.fq.gz,1
HRR024865_r2.fq.gz,1
HRR024866_f1.fq.gz,1
HRR024866_r2.fq.gz,1
HRR024867_f1.fq.gz,1
HRR024867_r2.fq.gz,1
HRR024868_f1.fq.gz,1
HRR024868_r2.fq.gz,1
HRR024869_f1.fq.gz,1
HRR024869_r2.fq.gz,1
HRR024870_f1.fq.gz,1
HRR024870_r2.fq.gz,1
HRR024871_f1.fq.gz,1
HRR024871_r2.fq.gz,1
HRR024872_f1.fq.gz,1
HRR024872_r2.fq.gz,1
HRR024873_f1.fq.gz,1
HRR024873_r2.fq.gz,1
HRR024874_f1.fq.gz,1
HRR024874_r2.fq.gz,1
HRR024875_f1.fq.gz,1
HRR024875_r2.fq.gz,1
HRR024876_f1.fq.gz,1
HRR024876_r2.fq.gz,1
HRR024877_f1.fq.gz,1
HRR024877_r2.fq.gz,1
HRR024878_f1.fq.gz,1
HRR024878_r2.fq.gz,1
HRR024879_f1.fq.gz,1
HRR024879_r2.fq.gz,1
HRR024880_f1.fq.gz,1
HRR024880_r2.fq.gz,1
HRR024881_f1.fq.gz,1
HRR024881_r2.fq.gz,1
HRR024882_f1.fq.gz,1
HRR024882_r2.fq.gz,1
HRR024883_f1.fq.gz,1
HRR024883_r2.fq.gz,1
HRR024884_f1.fq.gz,1
HRR024884_r2.fq.gz,1
HRR024885_f1.fq.gz,1
HRR024885_r2.fq.gz,1
HRR024886_f1.fq.gz,1
HRR024886_r2.fq.gz,1
HRR024887_f1.fq.gz,1
HRR024887_r2.fq.gz,1
HRR024888_f1.fq.gz,1
HRR024888_r2.fq.gz,1
HRR024889_f1.fq.gz,1
HRR024889_r2.fq.gz,1
HRR024890_f1.fq.gz,1
HRR024890_r2.fq.gz,1
HRR024891_f1.fq.gz,1
HRR024891_r2.fq.gz,1
HRR024892_f1.fq.gz,1
HRR024892_r2.fq.gz,1
HRR024893_f1.fq.gz,1
HRR024893_r2.fq.gz,1
HRR024894_f1.fq.gz,1
HRR024894_r2.fq.gz,1
HRR024895_f1.fq.gz,1
HRR024895_r2.fq.gz,1
HRR024896_f1.fq.gz,1
HRR024896_r2.fq.gz,1
HRR024897_f1.fq.gz,1
HRR024897_r2.fq.gz,1
HRR024898_f1.fq.gz,1
HRR024898_r2.fq.gz,1
HRR024899_f1.fq.gz,1
HRR024899_r2.fq.gz,1
HRR024900_f1.fq.gz,1
HRR024900_r2.fq.gz,1
HRR024901_f1.fq.gz,1
HRR024901_r2.fq.gz,1
HRR024902_f1.fq.gz,1
HRR024902_r2.fq.gz,1
HRR024903_f1.fq.gz,1
HRR024903_r2.fq.gz,1
HRR024904_f1.fq.gz,1
HRR024904_r2.fq.gz,1
HRR024905_f1.fq.gz,1
HRR024905_r2.fq.gz,1
HRR024906_f1.fq.gz,1
HRR024906_r2.fq.gz,1
HRR024907_f1.fq.gz,1
HRR024907_r2.fq.gz,1
HRR024908_f1.fq.gz,1
HRR024908_r2.fq.gz,1
HRR024909_f1.fq.gz,1
HRR024909_r2.fq.gz,1
HRR024910_f1.fq.gz,1
HRR024910_r2.fq.gz,1
HRR024911_f1.fq.gz,1
HRR024911_r2.fq.gz,1
HRR024912_f1.fq.gz,1
HRR024912_r2.fq.gz,1
HRR024913_f1.fq.gz,1
HRR024913_r2.fq.gz,1
HRR024914_f1.fq.gz,1
HRR024914_r2.fq.gz,1
HRR024915_f1.fq.gz,1
HRR024915_r2.fq.gz,1
HRR024916_f1.fq.gz,1
HRR024916_r2.fq.gz,1
HRR024917_f1.fq.gz,1
HRR024917_r2.fq.gz,1
HRR024918_f1.fq.gz,1
HRR024918_r2.fq.gz,1
HRR024919_f1.fq.gz,1
HRR024919_r2.fq.gz,1
HRR024920_f1.fq.gz,1
HRR024920_r2.fq.gz,1
HRR024921_f1.fq.gz,1
HRR024921_r2.fq.gz,1
HRR024922_f1.fq.gz,1
HRR024922_r2.fq.gz,1
HRR024923_f1.fq.gz,1
HRR024923_r2.fq.gz,1
HRR024924_f1.fq.gz,1
HRR024924_r2.fq.gz,1
HRR024925_f1.fq.gz,1
HRR024925_r2.fq.gz,1
HRR024926_f1.fq.gz,1
HRR024926_r2.fq.gz,1
HRR024927_f1.fq.gz,1
HRR024927_r2.fq.gz,1
HRR024928_f1.fq.gz,1
HRR024928_r2.fq.gz,1
HRR024929_f1.fq.gz,1
HRR024929_r2.fq.gz,1
HRR024930_f1.fq.gz,1
HRR024930_r2.fq.gz,1
HRR024931_f1.fq.gz,1
HRR024931_r2.fq.gz,1
HRR024932_f1.fq.gz,1
HRR024932_r2.fq.gz,1
HRR024933_f1.fq.gz,1
HRR024933_r2.fq.gz,1
HRR024934_f1.fq.gz,1
HRR024934_r2.fq.gz,1
HRR024935_f1.fq.gz,1
HRR024935_r2.fq.gz,1
HRR024936_f1.fq.gz,1
HRR024936_r2.fq.gz,1
HRR024937_f1.fq.gz,1
HRR024937_r2.fq.gz,1
HRR024938_f1.fq.gz,1
HRR024938_r2.fq.gz,1
HRR024939_f1.fq.gz,1
HRR024939_r2.fq.gz,1
HRR024940_f1.fq.gz,1
HRR024940_r2.fq.gz,1
HRR024941_f1.fq.gz,1
HRR024941_r2.fq.gz,1
