sample_accession,individual_accession
HRS023837,HRI023837
HRS023838,HRI023838
HRS023839,HRI023839
HRS023840,HRI023840
HRS023841,HRI023841
HRS023842,HRI023842
HRS023843,HRI023843
HRS023844,HRI023844
HRS023845,HRI023845
HRS023846,HRI023846
HRS023847,HRI023847
HRS023848,HRI023848
HRS023849,HRI023849
HRS023850,HRI023850
HRS023851,HRI023851
HRS023852,HRI023852
HRS023853,HRI023853
HRS023854,HRI023854
HRS023855,HRI023855
HRS023856,HRI023856
HRS023857,HRI023857
HRS023858,HRI023858
HRS023859,HRI023859
HRS023860,HRI023860
HRS023861,HRI023861
HRS023862,HRI023862
HRS023863,HRI023863
HRS023864,HRI023864
HRS023865,HRI023865
HRS023866,HRI023866
HRS023867,HRI023867
HRS023868,HRI023868
HRS023869,HRI023869
HRS023870,HRI023870
HRS023871,HRI023871
HRS023872,HRI023872
HRS023873,HRI023873
HRS023874,HRI023874
HRS023875,HRI023875
HRS023876,HRI023876
HRS023877,HRI023877
HRS023878,HRI023878
HRS023879,HRI023879
HRS023880,HRI023880
HRS023881,HRI023881
HRS023882,HRI023882
HRS023883,HRI023883
HRS023884,HRI023884
HRS023885,HRI023885
HRS023886,HRI023886
HRS023887,HRI023887
HRS023888,HRI023888
HRS023889,HRI023889
HRS023890,HRI023890
HRS023891,HRI023891
HRS023892,HRI023892
HRS023893,HRI023893
HRS023894,HRI023894
HRS023895,HRI023895
HRS023896,HRI023896
HRS023897,HRI023897
HRS023898,HRI023898
HRS023899,HRI023899
HRS023900,HRI023900
HRS023901,HRI023901
HRS023902,HRI023902
HRS023903,HRI023903
HRS023904,HRI023904
HRS023905,HRI023905
HRS023906,HRI023906
HRS023907,HRI023907
HRS023908,HRI023908
HRS023909,HRI023909
HRS023910,HRI023910
HRS023911,HRI023911
HRS023912,HRI023912
HRS023913,HRI023913
HRS023914,HRI023914
HRS023915,HRI023915
HRS023916,HRI023916
HRS023917,HRI023917
HRS023918,HRI023918
HRS023919,HRI023919
HRS023920,HRI023920
HRS023921,HRI023921
HRS023922,HRI023922
HRS023923,HRI023923
HRS023924,HRI023924
HRS023925,HRI023925
HRS023926,HRI023926
HRS023927,HRI023927
HRS023928,HRI023928
HRS023929,HRI023929
HRS023930,HRI023930
HRS023931,HRI023931
HRS023932,HRI023932
HRS023933,HRI023933
HRS023934,HRI023934
HRS023935,HRI023935
HRS023936,HRI023936
HRS023937,HRI023937
HRS023938,HRI023938
HRS023939,HRI023939
HRS023940,HRI023940
HRS023941,HRI023941
HRS023942,HRI023942
HRS023943,HRI023943
HRS023944,HRI023944
HRS023945,HRI023945
HRS023946,HRI023946
HRS023947,HRI023947
HRS023948,HRI023948
HRS023949,HRI023949
HRS023950,HRI023950
HRS023951,HRI023951
HRS023952,HRI023952
HRS023953,HRI023953
HRS023954,HRI023954
HRS024297,HRI024297
HRS024298,HRI024298
HRS024299,HRI024299
HRS024300,HRI024300
HRS024301,HRI024301
HRS024302,HRI024302
HRS024303,HRI024303
HRS024304,HRI024304
HRS024305,HRI024305
HRS024306,HRI024306
HRS024307,HRI024307
HRS024308,HRI024308
HRS024309,HRI024309
HRS024310,HRI024310
HRS024311,HRI024311
HRS024312,HRI024312
HRS024313,HRI024313
HRS024314,HRI024314
HRS024315,HRI024315
HRS024316,HRI024316
HRS024317,HRI024317
HRS024318,HRI024318
HRS024319,HRI024319
HRS024320,HRI024320
HRS024321,HRI024321
HRS024322,HRI024322
HRS024323,HRI024323
HRS024324,HRI024324
HRS024325,HRI024325
HRS024326,HRI024326
HRS024327,HRI024327
HRS024328,HRI024328
HRS024329,HRI024329
HRS024330,HRI024330
HRS024331,HRI024331
HRS024332,HRI024332
HRS024333,HRI024333
HRS024334,HRI024334
HRS024335,HRI024335
HRS024336,HRI024336
HRS024337,HRI024337
HRS024338,HRI024338
HRS024339,HRI024339
HRS024340,HRI024340
HRS024341,HRI024341
HRS024342,HRI024342
HRS024343,HRI024343
HRS024344,HRI024344
HRS024345,HRI024345
HRS024346,HRI024346
HRS024347,HRI024347
HRS024348,HRI024348
HRS024349,HRI024349
HRS024350,HRI024350
HRS024351,HRI024351
HRS024352,HRI024352
HRS024353,HRI024353
HRS024354,HRI024354
HRS024355,HRI024355
HRS024356,HRI024356
HRS024357,HRI024357
HRS024358,HRI024358
HRS024359,HRI024359
HRS024360,HRI024360
HRS024361,HRI024361
HRS024362,HRI024362
HRS024363,HRI024363
HRS024364,HRI024364
HRS024365,HRI024365
HRS024366,HRI024366
HRS024367,HRI024367
HRS024368,HRI024368
HRS024369,HRI024369
HRS024370,HRI024370
HRS024371,HRI024371
HRS024372,HRI024372
HRS024373,HRI024373
HRS024374,HRI024374
HRS024375,HRI024375
HRS024376,HRI024376
HRS024377,HRI024377
HRS024378,HRI024378
HRS024379,HRI024379
HRS024380,HRI024380
HRS024381,HRI024381
HRS024382,HRI024382
HRS024383,HRI024383
HRS024384,HRI024384
HRS024385,HRI024385
HRS024386,HRI024386
HRS024387,HRI024387
HRS024388,HRI024388
HRS024389,HRI024389
HRS024390,HRI024390
HRS024391,HRI024391
HRS024392,HRI024392
HRS024393,HRI024393
HRS024394,HRI024394
HRS024395,HRI024395
HRS024396,HRI024396
HRS024397,HRI024397
HRS024398,HRI024398
HRS024399,HRI024399
HRS024400,HRI024400
HRS024401,HRI024401
HRS024402,HRI024402
HRS024403,HRI024403
HRS024404,HRI024404
HRS024405,HRI024405
HRS024406,HRI024406
HRS024407,HRI024407
HRS024408,HRI024408
HRS024409,HRI024409
HRS024410,HRI024410
HRS024411,HRI024411
HRS024412,HRI024412
HRS024413,HRI024413
HRS024414,HRI024414
HRS024415,HRI024415
HRS024416,HRI024416
HRS024417,HRI024417
HRS024418,HRI024418
HRS024419,HRI024419
HRS024420,HRI024420
HRS024421,HRI024421
HRS024422,HRI024422
HRS024423,HRI024423
HRS024424,HRI024424
HRS024425,HRI024425
HRS024426,HRI024426
HRS024427,HRI024427
HRS024428,HRI024428
HRS024429,HRI024429
HRS024430,HRI024430
HRS024431,HRI024431
HRS024432,HRI024432
HRS024433,HRI024433
HRS024434,HRI024434
HRS024435,HRI024435
HRS024436,HRI024436
HRS024437,HRI024437
HRS024438,HRI024438
HRS024439,HRI024439
