type,start,end,properties_json
HAS_OUTPUT_SLOT,tool_id:diff_expr_go,io_slot:diff_expr_go::out::enrichment,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:diff_expr_kegg,io_slot:diff_expr_kegg::out::differential,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:diff_expr_kegg,io_slot:diff_expr_kegg::out::enrichment,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::out::figures,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::out::matrix,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:driver_gene_gender_analysis,io_slot:driver_gene_gender_analysis::out::statistics,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:fastp,io_slot:fastp::output::clean_fastq_read,{}
HAS_OUTPUT_SLOT,tool_id:fastqc,io_slot:fastqc::output::quality_control_report,{}
HAS_OUTPUT_SLOT,tool_id:featurecounts,io_slot:featurecounts::output::expression_count_matrix,{}
HAS_OUTPUT_SLOT,tool_id:gatk,io_slot:gatk::output::sorted_dedup_bam,{}
HAS_OUTPUT_SLOT,tool_id:gatk,io_slot:gatk::output::unfiltered_vcf,{}
HAS_OUTPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::out::figures,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::out::statistics,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:her2_pfs_survival,io_slot:her2_pfs_survival::out::summary,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::out::figures,"{""order"":3}"
HAS_OUTPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::out::fractions,"{""order"":1}"
HAS_OUTPUT_SLOT,tool_id:immune_infiltration_iobr,io_slot:immune_infiltration_iobr::out::qc,"{""order"":2}"
HAS_OUTPUT_SLOT,tool_id:multiqc,io_slot:multiqc::output::quality_control_report,{}
