sample_accession,individual_accession
HRS040280,HRI035530
HRS040281,HRI035530
HRS040282,HRI035531
HRS040283,HRI035531
HRS040284,HRI035532
HRS040285,HRI035532
HRS040286,HRI035533
HRS040287,HRI035533
HRS040288,HRI035534
HRS040289,HRI035534
HRS040290,HRI035535
HRS040291,HRI035535
HRS040292,HRI035536
HRS040293,HRI035536
HRS040294,HRI035537
HRS040295,HRI035537
HRS040296,HRI035538
HRS040297,HRI035538
HRS040298,HRI035539
HRS040299,HRI035539
HRS040300,HRI035540
HRS040301,HRI035540
HRS040302,HRI035541
HRS040303,HRI035541
HRS040304,HRI035542
HRS040305,HRI035542
HRS040306,HRI035543
HRS040307,HRI035543
HRS040308,HRI035544
HRS040309,HRI035544
HRS040310,HRI035545
HRS040311,HRI035545
HRS040312,HRI035546
HRS040313,HRI035546
HRS040314,HRI035547
HRS040315,HRI035547
HRS040316,HRI035548
HRS040317,HRI035548
HRS040318,HRI035549
HRS040319,HRI035549
HRS040320,HRI035550
HRS040321,HRI035550
HRS040322,HRI035551
HRS040323,HRI035551
HRS040324,HRI035552
HRS040325,HRI035552
HRS040326,HRI035553
HRS040327,HRI035553
HRS040328,HRI035554
HRS040329,HRI035554
HRS040330,HRI035555
HRS040331,HRI035555
HRS040332,HRI035556
HRS040333,HRI035556
HRS040334,HRI035557
HRS040335,HRI035557
HRS040336,HRI035558
HRS040337,HRI035558
HRS040338,HRI035559
HRS040339,HRI035559
HRS040340,HRI035560
HRS040341,HRI035560
HRS040342,HRI035561
HRS040343,HRI035561
HRS040344,HRI035562
HRS040345,HRI035562
HRS040346,HRI035563
HRS040347,HRI035563
HRS040348,HRI035564
HRS040349,HRI035564
HRS040350,HRI035565
HRS040351,HRI035565
HRS040352,HRI035566
HRS040353,HRI035566
HRS040354,HRI035567
HRS040355,HRI035567
HRS040356,HRI035568
HRS040357,HRI035568
HRS040358,HRI035569
HRS040359,HRI035569
HRS040360,HRI035570
HRS040361,HRI035570
HRS040362,HRI035571
HRS040363,HRI035571
HRS040364,HRI035572
HRS040365,HRI035572
HRS040366,HRI035573
HRS040367,HRI035573
HRS040368,HRI035574
HRS040369,HRI035574
HRS040370,HRI035575
HRS040371,HRI035575
HRS040372,HRI035576
HRS040373,HRI035576
HRS040374,HRI035577
HRS040375,HRI035577
HRS040376,HRI035578
HRS040377,HRI035578
HRS040378,HRI035579
HRS040379,HRI035579
HRS040380,HRI035580
HRS040381,HRI035580
HRS040382,HRI035581
HRS040383,HRI035581
HRS040384,HRI035582
HRS040385,HRI035582
HRS040386,HRI035583
HRS040387,HRI035583
HRS040388,HRI035584
HRS040389,HRI035584
HRS040390,HRI035585
HRS040391,HRI035585
HRS040392,HRI035586
HRS040393,HRI035586
HRS040394,HRI035587
HRS040395,HRI035587
HRS040396,HRI035588
HRS040397,HRI035588
HRS040398,HRI035589
HRS040399,HRI035589
HRS040400,HRI035590
HRS040401,HRI035590
HRS040402,HRI035591
HRS040403,HRI035591
HRS040404,HRI035592
HRS040405,HRI035592
HRS040406,HRI035593
HRS040407,HRI035593
HRS040408,HRI035594
HRS040409,HRI035594
HRS040410,HRI035595
HRS040411,HRI035595
HRS040412,HRI035596
HRS040413,HRI035596
HRS040414,HRI035597
HRS040415,HRI035597
HRS040416,HRI035598
HRS040417,HRI035598
HRS040418,HRI035599
HRS040419,HRI035599
HRS040420,HRI035600
HRS040421,HRI035600
HRS040422,HRI035601
HRS040423,HRI035601
HRS040424,HRI035602
HRS040425,HRI035602
HRS040426,HRI035603
HRS040427,HRI035603
HRS040428,HRI035604
HRS040429,HRI035604
HRS040430,HRI035605
HRS040431,HRI035605
HRS040432,HRI035606
HRS040433,HRI035606
HRS040434,HRI035607
HRS040435,HRI035607
HRS040436,HRI035608
HRS040437,HRI035608
HRS040438,HRI035609
HRS040439,HRI035609
HRS040440,HRI035610
HRS040441,HRI035610
HRS040442,HRI035611
HRS040443,HRI035611
HRS040444,HRI035612
HRS040445,HRI035612
HRS040446,HRI035613
HRS040447,HRI035613
HRS040448,HRI035614
HRS040449,HRI035614
HRS040450,HRI035615
HRS040451,HRI035615
HRS040452,HRI035616
HRS040453,HRI035616
HRS040454,HRI035617
HRS040455,HRI035617
HRS040456,HRI035618
HRS040457,HRI035618
HRS040458,HRI035619
HRS040459,HRI035619
HRS040460,HRI035620
HRS040461,HRI035620
HRS040462,HRI035621
HRS040463,HRI035621
HRS040464,HRI035622
HRS040465,HRI035622
HRS040466,HRI035623
HRS040467,HRI035623
HRS040468,HRI035624
HRS040469,HRI035624
HRS040470,HRI035625
HRS040471,HRI035625
HRS040472,HRI035626
HRS040473,HRI035626
HRS040474,HRI035627
HRS040475,HRI035627
HRS040476,HRI035628
HRS040477,HRI035628
HRS040478,HRI035629
HRS040479,HRI035629
HRS040480,HRI035630
HRS040481,HRI035630
HRS040482,HRI035631
HRS040483,HRI035631
HRS040484,HRI035632
HRS040485,HRI035632
HRS040486,HRI035633
HRS040487,HRI035633
HRS040488,HRI035634
HRS040489,HRI035634
HRS040490,HRI035635
HRS040491,HRI035635
HRS040492,HRI035636
HRS040493,HRI035636
HRS040494,HRI035637
HRS040495,HRI035637
HRS040496,HRI035638
HRS040497,HRI035638
HRS040498,HRI035639
HRS040499,HRI035639
HRS040500,HRI035640
HRS040501,HRI035640
HRS040502,HRI035641
HRS040503,HRI035641
HRS040504,HRI035642
HRS040505,HRI035642
HRS040506,HRI035643
HRS040507,HRI035643
HRS040508,HRI035644
HRS040509,HRI035644
HRS040510,HRI035645
HRS040511,HRI035645
HRS040512,HRI035646
HRS040513,HRI035646
HRS040514,HRI035647
HRS040515,HRI035647
HRS040516,HRI035648
HRS040517,HRI035648
HRS040518,HRI035649
HRS040519,HRI035649
HRS040520,HRI035650
HRS040521,HRI035650
HRS040522,HRI035651
HRS040523,HRI035651
HRS040524,HRI035652
HRS040525,HRI035652
HRS040526,HRI035653
HRS040527,HRI035653
HRS040528,HRI035654
HRS040529,HRI035654
HRS040530,HRI035655
HRS040531,HRI035655
HRS040532,HRI035656
HRS040533,HRI035656
HRS040534,HRI035657
HRS040535,HRI035657
HRS040536,HRI035658
HRS040537,HRI035658
HRS040538,HRI035659
HRS040539,HRI035659
HRS040540,HRI035660
HRS040541,HRI035660
HRS040542,HRI035661
HRS040543,HRI035661
HRS040544,HRI035662
HRS040545,HRI035662
HRS040546,HRI035663
HRS040547,HRI035663
HRS040548,HRI035664
HRS040549,HRI035664
HRS040550,HRI035665
HRS040551,HRI035665
HRS040552,HRI035666
HRS040553,HRI035666
HRS040554,HRI035667
HRS040555,HRI035667
HRS040556,HRI035668
HRS040557,HRI035668
HRS040558,HRI035669
HRS040559,HRI035669
HRS040560,HRI035670
HRS040561,HRI035670
HRS040562,HRI035671
HRS040563,HRI035671
HRS040564,HRI035672
HRS040565,HRI035672
HRS040566,HRI035673
HRS040567,HRI035673
HRS040568,HRI035674
HRS040569,HRI035674
HRS040570,HRI035675
