files,format
HRR067647.bam::NOT_FOUND,UNMAPPEDBAM
HRR067648.bam::NOT_FOUND,UNMAPPEDBAM
HRR067649.bam::NOT_FOUND,UNMAPPEDBAM
HRR067650.bam::NOT_FOUND,UNMAPPEDBAM
HRR067651.bam::NOT_FOUND,UNMAPPEDBAM
HRR067652.bam::NOT_FOUND,UNMAPPEDBAM
HRR067653.bam::NOT_FOUND,UNMAPPEDBAM
HRR067654.bam::NOT_FOUND,UNMAPPEDBAM
HRR067655.bam::NOT_FOUND,UNMAPPEDBAM
HRR067656.bam::NOT_FOUND,UNMAPPEDBAM
HRR067657.bam::NOT_FOUND,UNMAPPEDBAM
HRR067658.bam::NOT_FOUND,UNMAPPEDBAM
HRR067659.bam::NOT_FOUND,UNMAPPEDBAM
HRR067660.bam::NOT_FOUND,UNMAPPEDBAM
HRR067661.bam::NOT_FOUND,UNMAPPEDBAM
HRR067662.bam::NOT_FOUND,UNMAPPEDBAM
HRR067663.bam::NOT_FOUND,UNMAPPEDBAM
HRR067664.bam::NOT_FOUND,UNMAPPEDBAM
HRR067665.bam::NOT_FOUND,UNMAPPEDBAM
HRR067666.bam::NOT_FOUND,UNMAPPEDBAM
HRR067667.bam::NOT_FOUND,UNMAPPEDBAM
HRR067668.bam::NOT_FOUND,UNMAPPEDBAM
HRR067669.bam::NOT_FOUND,UNMAPPEDBAM
HRR067670.bam::NOT_FOUND,UNMAPPEDBAM
HRR067671.bam::NOT_FOUND,UNMAPPEDBAM
HRR067672.bam::NOT_FOUND,UNMAPPEDBAM
HRR067673.bam::NOT_FOUND,UNMAPPEDBAM
HRR067674.bam::NOT_FOUND,UNMAPPEDBAM
HRR067675.bam::NOT_FOUND,UNMAPPEDBAM
HRR067676.bam::NOT_FOUND,UNMAPPEDBAM
HRR067677.bam::NOT_FOUND,UNMAPPEDBAM
HRR067678.bam::NOT_FOUND,UNMAPPEDBAM
HRR067679.bam::NOT_FOUND,UNMAPPEDBAM
HRR067680.bam::NOT_FOUND,UNMAPPEDBAM
HRR067681.bam::NOT_FOUND,UNMAPPEDBAM
HRR067682.bam::NOT_FOUND,UNMAPPEDBAM
HRR067683.bam::NOT_FOUND,UNMAPPEDBAM
HRR067684.bam::NOT_FOUND,UNMAPPEDBAM
HRR067685.bam::NOT_FOUND,UNMAPPEDBAM
HRR067686.bam::NOT_FOUND,UNMAPPEDBAM
HRR067687.bam::NOT_FOUND,UNMAPPEDBAM
HRR067688.bam::NOT_FOUND,UNMAPPEDBAM
HRR067689.bam::NOT_FOUND,UNMAPPEDBAM
HRR067690.bam::NOT_FOUND,UNMAPPEDBAM
HRR067691.bam::NOT_FOUND,UNMAPPEDBAM
HRR067692.bam::NOT_FOUND,UNMAPPEDBAM
HRR067693.bam::NOT_FOUND,UNMAPPEDBAM
HRR067694.bam::NOT_FOUND,UNMAPPEDBAM
HRR067695.bam::NOT_FOUND,UNMAPPEDBAM
HRR067696.bam::NOT_FOUND,UNMAPPEDBAM
HRR067697.bam::NOT_FOUND,UNMAPPEDBAM
HRR067698.bam::NOT_FOUND,UNMAPPEDBAM
HRR067699.bam::NOT_FOUND,UNMAPPEDBAM
HRR067700.bam::NOT_FOUND,UNMAPPEDBAM
HRR067701.bam::NOT_FOUND,UNMAPPEDBAM
HRR067702.bam::NOT_FOUND,UNMAPPEDBAM
HRR067703.bam::NOT_FOUND,UNMAPPEDBAM
HRR067704.bam::NOT_FOUND,UNMAPPEDBAM
HRR067705.bam::NOT_FOUND,UNMAPPEDBAM
HRR067706.bam::NOT_FOUND,UNMAPPEDBAM
HRR067707.bam::NOT_FOUND,UNMAPPEDBAM
HRR067708.bam::NOT_FOUND,UNMAPPEDBAM
HRR067709.bam::NOT_FOUND,UNMAPPEDBAM
HRR067710.bam::NOT_FOUND,UNMAPPEDBAM
HRR067711.bam::NOT_FOUND,UNMAPPEDBAM
HRR067712.bam::NOT_FOUND,UNMAPPEDBAM
HRR067713.bam::NOT_FOUND,UNMAPPEDBAM
HRR067714.bam::NOT_FOUND,UNMAPPEDBAM
HRR067715.bam::NOT_FOUND,UNMAPPEDBAM
HRR067716.bam::NOT_FOUND,UNMAPPEDBAM
HRR067717.bam::NOT_FOUND,UNMAPPEDBAM
HRR067718.bam::NOT_FOUND,UNMAPPEDBAM
HRR067719.bam::NOT_FOUND,UNMAPPEDBAM
HRR067720.bam::NOT_FOUND,UNMAPPEDBAM
HRR067721.bam::NOT_FOUND,UNMAPPEDBAM
HRR067722.bam::NOT_FOUND,UNMAPPEDBAM
HRR067723.bam::NOT_FOUND,UNMAPPEDBAM
HRR067724.bam::NOT_FOUND,UNMAPPEDBAM
HRR067725.bam::NOT_FOUND,UNMAPPEDBAM
HRR067726.bam::NOT_FOUND,UNMAPPEDBAM
HRR067727.bam::NOT_FOUND,UNMAPPEDBAM
HRR067728.bam::NOT_FOUND,UNMAPPEDBAM
HRR067729.bam::NOT_FOUND,UNMAPPEDBAM
HRR067730.bam::NOT_FOUND,UNMAPPEDBAM
HRR067731.bam::NOT_FOUND,UNMAPPEDBAM
HRR067732.bam::NOT_FOUND,UNMAPPEDBAM
HRR067733.bam::NOT_FOUND,UNMAPPEDBAM
HRR067734.bam::NOT_FOUND,UNMAPPEDBAM
HRR067735.bam::NOT_FOUND,UNMAPPEDBAM
HRR067736.bam::NOT_FOUND,UNMAPPEDBAM
HRR067737.bam::NOT_FOUND,UNMAPPEDBAM
HRR067738.bam::NOT_FOUND,UNMAPPEDBAM
HRR067739.bam::NOT_FOUND,UNMAPPEDBAM
