run_accession,sample_accession
HRR067817,HRS040262
HRR067818,HRS040263
HRR067819,HRS040264
HRR067820,HRS040265
HRR067821,HRS040266
HRR067822,HRS040267
HRR067823,HRS040268
HRR067824,HRS040269
HRR067825,HRS040270
HRR067826,HRS040271
HRR067827,HRS040272
HRR067828,HRS040273
HRR067829,HRS040274
HRR067830,HRS040275
HRR067831,HRS040276
HRR067832,HRS040277
HRR067833,HRS040278
HRR067834,HRS040279
HRR067835,HRS040280
HRR067836,HRS040281
HRR067837,HRS040282
HRR067838,HRS040283
HRR067839,HRS040284
HRR067840,HRS040285
HRR067841,HRS040286
HRR067842,HRS040287
HRR067843,HRS040288
HRR067844,HRS040289
HRR067845,HRS040290
HRR067846,HRS040291
HRR067847,HRS040292
HRR067848,HRS040293
HRR067849,HRS040294
HRR067850,HRS040295
HRR067851,HRS040296
HRR067852,HRS040297
HRR067853,HRS040298
HRR067854,HRS040299
HRR067855,HRS040300
HRR067856,HRS040301
HRR067857,HRS040302
HRR067858,HRS040303
HRR067859,HRS040304
HRR067860,HRS040305
HRR067861,HRS040306
HRR067862,HRS040307
HRR067863,HRS040308
HRR067864,HRS040309
HRR067865,HRS040310
HRR067866,HRS040311
HRR067867,HRS040312
HRR067868,HRS040313
HRR067869,HRS040314
HRR067870,HRS040315
HRR067871,HRS040316
HRR067872,HRS040317
HRR067873,HRS040318
HRR067874,HRS040319
HRR067875,HRS040320
HRR067876,HRS040321
HRR067877,HRS040322
HRR067878,HRS040323
HRR067879,HRS040324
HRR067880,HRS040325
HRR067881,HRS040326
HRR067882,HRS040327
HRR067883,HRS040328
HRR067884,HRS040329
HRR067885,HRS040330
HRR067886,HRS040331
HRR067887,HRS040332
HRR067888,HRS040333
HRR067889,HRS040334
HRR067890,HRS040335
HRR067891,HRS040336
HRR067892,HRS040337
HRR067893,HRS040338
HRR067894,HRS040339
HRR067895,HRS040340
HRR067896,HRS040341
HRR067897,HRS040342
HRR067898,HRS040343
HRR067899,HRS040344
HRR067900,HRS040345
HRR067901,HRS040346
HRR067902,HRS040347
HRR067903,HRS040348
HRR067904,HRS040349
HRR067905,HRS040350
HRR067906,HRS040351
HRR067907,HRS040352
HRR067908,HRS040353
HRR067909,HRS040354
HRR067910,HRS040355
HRR067911,HRS040356
HRR067912,HRS040357
HRR067913,HRS040358
HRR067914,HRS040359
HRR067915,HRS040360
HRR067916,HRS040361
HRR067917,HRS040362
HRR067918,HRS040363
HRR067919,HRS040364
HRR067920,HRS040365
HRR067921,HRS040366
HRR067922,HRS040367
HRR067923,HRS040368
HRR067924,HRS040369
HRR067925,HRS040370
HRR067926,HRS040371
HRR067927,HRS040372
HRR067928,HRS040373
HRR067929,HRS040374
HRR067930,HRS040375
HRR067931,HRS040376
HRR067932,HRS040377
HRR067933,HRS040378
HRR067934,HRS040379
HRR067935,HRS040380
HRR067936,HRS040381
HRR067937,HRS040382
HRR067938,HRS040383
HRR067939,HRS040384
HRR067940,HRS040385
HRR067941,HRS040386
HRR067942,HRS040387
HRR067943,HRS040388
HRR067944,HRS040389
HRR067945,HRS040390
HRR067946,HRS040391
HRR067947,HRS040392
HRR067948,HRS040393
HRR067949,HRS040394
HRR067950,HRS040395
HRR067951,HRS040396
HRR067952,HRS040397
HRR067953,HRS040398
HRR067954,HRS040399
HRR067955,HRS040400
HRR067956,HRS040401
HRR067957,HRS040402
HRR067958,HRS040403
HRR067959,HRS040404
HRR067960,HRS040405
HRR067961,HRS040406
HRR067962,HRS040407
HRR067963,HRS040408
HRR067964,HRS040409
HRR067965,HRS040410
HRR067966,HRS040411
HRR067967,HRS040412
HRR067968,HRS040413
HRR067969,HRS040414
HRR067970,HRS040415
HRR067971,HRS040416
HRR067972,HRS040417
HRR067973,HRS040418
HRR067974,HRS040419
HRR067975,HRS040420
HRR067976,HRS040421
HRR067977,HRS040422
HRR067978,HRS040423
HRR067979,HRS040424
HRR067980,HRS040425
HRR067981,HRS040426
HRR067982,HRS040427
HRR067983,HRS040428
HRR067984,HRS040429
HRR067985,HRS040430
HRR067986,HRS040431
HRR067987,HRS040432
HRR067988,HRS040433
HRR067989,HRS040434
HRR067990,HRS040435
HRR067991,HRS040436
HRR067992,HRS040437
HRR067993,HRS040438
HRR067994,HRS040439
HRR067995,HRS040440
HRR067996,HRS040441
HRR067997,HRS040442
HRR067998,HRS040443
HRR067999,HRS040444
HRR068000,HRS040445
HRR068001,HRS040446
HRR068002,HRS040447
HRR068003,HRS040448
HRR068004,HRS040449
HRR068005,HRS040450
HRR068006,HRS040451
HRR068007,HRS040452
HRR068008,HRS040453
HRR068009,HRS040454
HRR068010,HRS040455
HRR068011,HRS040456
HRR068012,HRS040457
HRR068013,HRS040458
HRR068014,HRS040459
HRR068015,HRS040460
HRR068016,HRS040461
HRR068017,HRS040462
HRR068018,HRS040463
HRR068019,HRS040464
HRR068020,HRS040465
HRR068021,HRS040466
HRR068022,HRS040467
HRR068023,HRS040468
HRR068024,HRS040469
HRR068025,HRS040470
HRR068026,HRS040471
HRR068027,HRS040472
HRR068028,HRS040473
HRR068029,HRS040474
HRR068030,HRS040475
HRR068031,HRS040476
HRR068032,HRS040477
HRR068033,HRS040478
HRR068034,HRS040479
HRR068035,HRS040480
HRR068036,HRS040481
HRR068037,HRS040482
HRR068038,HRS040483
HRR068039,HRS040484
HRR068040,HRS040485
HRR068041,HRS040486
HRR068042,HRS040487
HRR068043,HRS040488
HRR068044,HRS040489
HRR068045,HRS040490
HRR068046,HRS040491
HRR068047,HRS040492
HRR068048,HRS040493
HRR068049,HRS040494
HRR068050,HRS040495
HRR068051,HRS040496
HRR068052,HRS040497
HRR068053,HRS040498
HRR068054,HRS040499
HRR068055,HRS040500
HRR068056,HRS040501
HRR068057,HRS040502
HRR068058,HRS040503
HRR068059,HRS040504
HRR068060,HRS040505
HRR068061,HRS040506
HRR068062,HRS040507
HRR068063,HRS040508
HRR068064,HRS040509
HRR068065,HRS040510
HRR068066,HRS040511
HRR068067,HRS040512
HRR068068,HRS040513
HRR068069,HRS040514
HRR068070,HRS040515
HRR068071,HRS040516
HRR068072,HRS040517
HRR068073,HRS040518
HRR068074,HRS040519
HRR068075,HRS040520
HRR068076,HRS040521
HRR068077,HRS040522
HRR068078,HRS040523
HRR068079,HRS040524
HRR068080,HRS040525
HRR068081,HRS040526
HRR068082,HRS040527
HRR068083,HRS040528
HRR068084,HRS040529
HRR068085,HRS040530
HRR068086,HRS040531
HRR068087,HRS040532
HRR068088,HRS040533
HRR068089,HRS040534
HRR068090,HRS040535
HRR068091,HRS040536
HRR068092,HRS040537
HRR068093,HRS040538
HRR068094,HRS040539
HRR068095,HRS040540
HRR068096,HRS040541
HRR068097,HRS040542
HRR068098,HRS040543
HRR068099,HRS040544
HRR068100,HRS040545
HRR068101,HRS040546
HRR068102,HRS040547
HRR068103,HRS040548
HRR068104,HRS040549
HRR068105,HRS040550
HRR068106,HRS040551
HRR068107,HRS040552
HRR068108,HRS040553
HRR068109,HRS040554
HRR068110,HRS040555
HRR068111,HRS040556
HRR068112,HRS040557
HRR068113,HRS040558
HRR068114,HRS040559
HRR068115,HRS040560
HRR068116,HRS040561
HRR068117,HRS040562
HRR068118,HRS040563
HRR068119,HRS040564
HRR068120,HRS040565
HRR068121,HRS040566
HRR068122,HRS040567
HRR068123,HRS040568
HRR068124,HRS040569
HRR068125,HRS040570
HRR068126,HRS040571
HRR068127,HRS040572
HRR068128,HRS040573
HRR068129,HRS040574
HRR068130,HRS040575
HRR068131,HRS040576
HRR068132,HRS040577
HRR068133,HRS040578
HRR068134,HRS040579
HRR068135,HRS040580
HRR068136,HRS040581
HRR068137,HRS040582
HRR068138,HRS040583
HRR068139,HRS040584
HRR068140,HRS040585
HRR068141,HRS040586
HRR068142,HRS040587
HRR068143,HRS040588
HRR068144,HRS040589
HRR068145,HRS040590
HRR068146,HRS040591
HRR068147,HRS040592
HRR068148,HRS040593
HRR068149,HRS040594
HRR068150,HRS040595
HRR068151,HRS040596
HRR068152,HRS040597
HRR068153,HRS040598
HRR068154,HRS040599
HRR068155,HRS040600
HRR068156,HRS040601
HRR068157,HRS040602
HRR068158,HRS040603
HRR068159,HRS040604
HRR068160,HRS040605
HRR068161,HRS040606
HRR068162,HRS040607
HRR068163,HRS040608
HRR068164,HRS040609
HRR068165,HRS040610
HRR068166,HRS040611
HRR068167,HRS040612
HRR068168,HRS040613
HRR068169,HRS040614
HRR068170,HRS040615
HRR068171,HRS040616
HRR068172,HRS040617
HRR068173,HRS040618
HRR068174,HRS040619
HRR068175,HRS040620
HRR068176,HRS040621
HRR068177,HRS040622
HRR068178,HRS040623
HRR068179,HRS040624
HRR068180,HRS040625
HRR068181,HRS040626
HRR068182,HRS040627
HRR068183,HRS040628
HRR068184,HRS040629
HRR068185,HRS040630
HRR068186,HRS040631
HRR068187,HRS040632
HRR068188,HRS040633
HRR068189,HRS040634
HRR068190,HRS040635
HRR068191,HRS040636
HRR068192,HRS040637
HRR068193,HRS040638
HRR068194,HRS040639
HRR068195,HRS040640
HRR068196,HRS040641
HRR068197,HRS040642
HRR068198,HRS040643
