files,modal
HRR068108.bam::NOT_FOUND,WES
HRR068109.bam::NOT_FOUND,WES
HRR068110.bam::NOT_FOUND,WES
HRR068111.bam::NOT_FOUND,WES
HRR068112.bam::NOT_FOUND,WES
HRR068113.bam::NOT_FOUND,WES
HRR068114.bam::NOT_FOUND,WES
HRR068115.bam::NOT_FOUND,WES
HRR068116.bam::NOT_FOUND,WES
HRR068117.bam::NOT_FOUND,WES
HRR068118.bam::NOT_FOUND,WES
HRR068119.bam::NOT_FOUND,WES
HRR068120.bam::NOT_FOUND,WES
HRR068121.bam::NOT_FOUND,WES
HRR068122.bam::NOT_FOUND,WES
HRR068123.bam::NOT_FOUND,WES
HRR068124.bam::NOT_FOUND,WES
HRR068125.bam::NOT_FOUND,WES
HRR068126.bam::NOT_FOUND,WES
HRR068127.bam::NOT_FOUND,WES
HRR068128.bam::NOT_FOUND,WES
HRR068129.bam::NOT_FOUND,WES
HRR068130.bam::NOT_FOUND,WES
HRR068131.bam::NOT_FOUND,WES
HRR068132.bam::NOT_FOUND,WES
HRR068133.bam::NOT_FOUND,WES
HRR068134.bam::NOT_FOUND,WES
HRR068135.bam::NOT_FOUND,WES
HRR068136.bam::NOT_FOUND,WES
HRR068137.bam::NOT_FOUND,WES
HRR068138.bam::NOT_FOUND,WES
HRR068139.bam::NOT_FOUND,WES
HRR068140.bam::NOT_FOUND,WES
HRR068141.bam::NOT_FOUND,WES
HRR068142.bam::NOT_FOUND,WES
HRR068143.bam::NOT_FOUND,WES
HRR068144.bam::NOT_FOUND,WES
HRR068145.bam::NOT_FOUND,WES
HRR068146.bam::NOT_FOUND,WES
HRR068147.bam::NOT_FOUND,WES
HRR068148.bam::NOT_FOUND,WES
HRR068149.bam::NOT_FOUND,WES
HRR068150.bam::NOT_FOUND,WES
HRR068151.bam::NOT_FOUND,WES
HRR068152.bam::NOT_FOUND,WES
HRR068153.bam::NOT_FOUND,WES
HRR068154.bam::NOT_FOUND,WES
HRR068155.bam::NOT_FOUND,WES
HRR068156.bam::NOT_FOUND,WES
HRR068157.bam::NOT_FOUND,WES
HRR068159.bam::NOT_FOUND,WES
HRR068160.bam::NOT_FOUND,WES
HRR068161.bam::NOT_FOUND,WES
HRR067354.bam::NOT_FOUND,WES
HRR068162.bam::NOT_FOUND,WES
HRR067355.bam::NOT_FOUND,WES
HRR068163.bam::NOT_FOUND,WES
HRR068164.bam::NOT_FOUND,WES
HRR068165.bam::NOT_FOUND,WES
HRR067356.bam::NOT_FOUND,WES
HRR068166.bam::NOT_FOUND,WES
HRR068167.bam::NOT_FOUND,WES
HRR067357.bam::NOT_FOUND,WES
HRR068168.bam::NOT_FOUND,WES
HRR068169.bam::NOT_FOUND,WES
HRR067358.bam::NOT_FOUND,WES
