t2_id,run_accession,files
HRR233127.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233127.BQSR.bam,HRR233127,HRR233127_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233127/HRR233127_f1.fastq.gz
HRR233127.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233127.BQSR.bam,HRR233127,HRR233127_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233127/HRR233127_r2.fastq.gz
HRR233128.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233128.BQSR.bam,HRR233128,HRR233128_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233128/HRR233128_f1.fastq.gz
HRR233128.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233128.BQSR.bam,HRR233128,HRR233128_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233128/HRR233128_r2.fastq.gz
HRR233129.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233129.BQSR.bam,HRR233129,HRR233129_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233129/HRR233129_f1.fastq.gz
HRR233129.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233129.BQSR.bam,HRR233129,HRR233129_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233129/HRR233129_r2.fastq.gz
HRR233130.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233130.BQSR.bam,HRR233130,HRR233130_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233130/HRR233130_f1.fastq.gz
HRR233130.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233130.BQSR.bam,HRR233130,HRR233130_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233130/HRR233130_r2.fastq.gz
HRR233131.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233131.BQSR.bam,HRR233131,HRR233131_f1.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233131/HRR233131_f1.fastq.gz
HRR233131.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000873/BAM-files/HRR233131.BQSR.bam,HRR233131,HRR233131_r2.fastq.gz::/hpcdisk1/cbb_group/data/HRA000873/HRR233131/HRR233131_r2.fastq.gz
