t2_id,study_accession
HRR067925.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067925.BQSR.bam,HRA000021
HRR067926.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067926.BQSR.bam,HRA000021
HRR067927.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067927.BQSR.bam,HRA000021
HRR067928.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067928.BQSR.bam,HRA000021
HRR067929.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067929.BQSR.bam,HRA000021
HRR067930.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067930.BQSR.bam,HRA000021
HRR067931.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067931.BQSR.bam,HRA000021
HRR067932.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067932.BQSR.bam,HRA000021
HRR067933.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067933.BQSR.bam,HRA000021
HRR067934.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067934.BQSR.bam,HRA000021
HRR067935.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067935.BQSR.bam,HRA000021
HRR067936.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067936.BQSR.bam,HRA000021
HRR067937.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067937.BQSR.bam,HRA000021
HRR067938.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067938.BQSR.bam,HRA000021
HRR067939.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067939.BQSR.bam,HRA000021
