study_accession,t2_id,files,file_type,format,size,data_level,size_bytes,file_path,strategy,run_accession,semantic_format,sample_accession,individual_accession
HRA000021,HRR067904.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067904.BQSR.bam,HRR067904.BQSR.bam,BAM-files,BQSR.bam,124.57 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067904.BQSR.bam,WES,HRR067904,DNA_ALIGNMENT_BQSR_BAM,HRS040349,HRI035564
HRA000021,HRR067905.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067905.BQSR.bam,HRR067905.BQSR.bam,BAM-files,BQSR.bam,61.73 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067905.BQSR.bam,WES,HRR067905,DNA_ALIGNMENT_BQSR_BAM,HRS040350,HRI035565
HRA000021,HRR067906.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067906.BQSR.bam,HRR067906.BQSR.bam,BAM-files,BQSR.bam,108.09 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067906.BQSR.bam,WES,HRR067906,DNA_ALIGNMENT_BQSR_BAM,HRS040351,HRI035565
HRA000021,HRR067907.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067907.BQSR.bam,HRR067907.BQSR.bam,BAM-files,BQSR.bam,80.08 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067907.BQSR.bam,WES,HRR067907,DNA_ALIGNMENT_BQSR_BAM,HRS040352,HRI035566
HRA000021,HRR067908.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067908.BQSR.bam,HRR067908.BQSR.bam,BAM-files,BQSR.bam,140.60 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067908.BQSR.bam,WES,HRR067908,DNA_ALIGNMENT_BQSR_BAM,HRS040353,HRI035566
HRA000021,HRR067909.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067909.BQSR.bam,HRR067909.BQSR.bam,BAM-files,BQSR.bam,66.21 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067909.BQSR.bam,WES,HRR067909,DNA_ALIGNMENT_BQSR_BAM,HRS040354,HRI035567
HRA000021,HRR067910.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067910.BQSR.bam,HRR067910.BQSR.bam,BAM-files,BQSR.bam,148.10 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067910.BQSR.bam,WES,HRR067910,DNA_ALIGNMENT_BQSR_BAM,HRS040355,HRI035567
HRA000021,HRR067911.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067911.BQSR.bam,HRR067911.BQSR.bam,BAM-files,BQSR.bam,55.35 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067911.BQSR.bam,WES,HRR067911,DNA_ALIGNMENT_BQSR_BAM,HRS040356,HRI035568
HRA000021,HRR067912.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067912.BQSR.bam,HRR067912.BQSR.bam,BAM-files,BQSR.bam,123.84 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067912.BQSR.bam,WES,HRR067912,DNA_ALIGNMENT_BQSR_BAM,HRS040357,HRI035568
HRA000021,HRR067913.BQSR.bam::/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067913.BQSR.bam,HRR067913.BQSR.bam,BAM-files,BQSR.bam,85.12 GB,2,,/hpcdisk1/cbb_group/data/analysis/HRA000021/BAM-files/HRR067913.BQSR.bam,WES,HRR067913,DNA_ALIGNMENT_BQSR_BAM,HRS040358,HRI035569
